13,DADE,59,62,58,56,70,68,68,65,506,99,YES,YES,,YES,YES,,59,YES,59,62,58,506,NA,B,B,B,B,B,B,B,C,B,B,C
14,DESOTO,42,45,31,40,61,58,65,55,397,99,YES,YES,,YES,YES,,42,YES,42,45,31,397,NA,D,D,C,C,C,B,B,C,C,C,C
15,DIXIE,58,56,52,57,67,63,70,66,489,98,YES,YES,,YES,YES,,57,YES,58,56,52,489,NA,C,C,B,A,B,B,A,B,B,C,C
16,DUVAL,53,56,55,55,62,62,60,61,464,98,YES,YES,,YES,YES,,53,YES,53,56,55,464,NA,C,C,C,B,B,B,B,C,B,B,C
17,ESCAMBIA,53,55,49,57,64,64,64,61,467,99,YES,YES,,YES,YES,,53,YES,53,55,49,467,NA,C,C,C,B,C,B,B,C,B,C,C
18,FLAGLER,64,66,62,58,69,72,68,62,521,99,YES,YES,,YES,YES,,64,YES,64,66,62,521,NA,B,B,B,A,A,A,A,B,B,B,B
19,FRANKLIN,54,56,45,60,64,73,65,71,488,94,YES,YES,,YES,YES,,54,YES,54,56,45,488,NA,C,C,C,C,B,B,C,C,C,C,C
20,GADSDEN,40,52,49,40,56,60,63,65,425,96,YES,YES,,YES,YES,,39,YES,40,52,49,425,NA,D,D,C,C,C,C,C,F,C,D,D
21,GILCHRIST,68,70,63,67,71,67,68,61,535,99,YES,YES,,YES,YES,,68,YES,68,70,63,535,NA,A,A,A,A,A,A,A,A,A,A,A
22,GLADES,53,67,60,54,66,73,76,74,523,99,YES,YES,,YES,YES,,53,YES,53,67,60,523,NA,B,C,B,A,C,B,B,C,C,C,C
23,GULF,60,64,37,53,70,69,73,67,493,98,YES,YES,,YES,YES,,60,YES,60,64,37,493,NA,C,C,B,A,A,A,A,B,B,B,B
24,HAMILTON,40,46,44,31,56,56,53,55,381,98,YES,YES,,YES,YES,,39,YES,40,46,44,381,NA,F,F,D,C,D,D,C,D,C,C,C
25,HARDEE,48,51,42,46,62,57,65,55,426,98,YES,YES,,YES,YES,,48,YES,48,51,42,426,NA,D,D,C,C,C,B,B,C,B,C,B
26,HENDRY,45,52,40,46,60,60,61,63,427,99,YES,YES,,YES,YES,,44,YES,45,52,40,427,NA,D,D,C,C,C,C,B,C,C,C,C
27,HERNANDO,60,57,51,59,67,65,66,62,487,99,YES,YES,,YES,YES,,60,YES,60,57,51,487,NA,C,C,C,B,A,B,A,B,B,B,B
28,HIGHLANDS,51,55,57,48,64,65,65,60,465,98,YES,YES,,YES,YES,,51,YES,51,55,57,465,NA,C,C,C,B,C,B,B,C,B,B,B
29,HILLSBOROUGH,57,60,69,57,66,69,64,64,506,99,YES,YES,,YES,YES,,57,YES,57,60,69,506,NA,B,C,B,B,A,A,A,B,A,B,B
30,HOLMES,54,52,48,51,62,67,62,61,457,96,YES,YES,,YES,YES,,54,YES,54,52,48,457,NA,C,C,C,B,B,B,A,C,B,C,B
31,INDIAN RIVER,59,54,55,56,67,61,67,60,479,98,YES,YES,,YES,YES,,59,YES,59,54,55,479,NA,C,C,B,A,A,A,A,B,B,A,B
32,JACKSON,59,63,52,61,63,65,63,63,489,99,YES,YES,,YES,YES,,58,YES,59,63,52,489,NA,C,C,B,B,B,B,B,B,B,B,B
33,JEFFERSON,34,33,40,32,54,56,67,60,376,99,YES,YES,,YES,YES,,34,YES,34,33,40,376,NA,F,F,D,C,D,F,D,C,C,D,D
34,LAFAYETTE,50,67,63,54,66,78,69,70,517,98,NO,YES,,YES,YES,,50,YES,50,67,63,517,NA,B,C,B,B,B,A,B,B,B,C,B
35,LAKE,57,56,51,57,65,62,65,58,471,99,YES,YES,,YES,YES,,57,YES,57,56,51,471,NA,C,C,B,B,B,B,A,B,B,B,B
36,LEE,59,62,55,56,67,70,66,64,499,99,YES,YES,,YES,YES,,59,YES,59,62,55,499,NA,B,C,B,A,A,A,B,B,B,B,B
37,LEON,62,66,62,63,69,71,63,61,517,98,YES,YES,,YES,YES,,62,YES,62,66,62,517,NA,B,C,B,A,A,A,A,A,A,A,A
38,LEVY,50,55,55,51,63,62,65,60,461,98,YES,YES,,YES,YES,,49,YES,50,55,55,461,NA,C,C,C,B,B,B,B,C,B,C,B
39,LIBERTY,59,55,65,62,68,66,60,67,502,98,YES,YES,,YES,YES,,59,YES,59,55,65,502,NA,B,C,B,A,B,C,B,C,B,B,B
40,MADISON,43,45,30,35,60,62,59,56,390,98,YES,YES,,YES,YES,,43,YES,43,45,30,390,NA,F,F,D,D,D,C,D,D,C,D,D
41,MANATEE,55,59,53,55,66,71,62,64,485,98,YES,YES,,YES,YES,,55,YES,55,59,53,485,NA,C,C,C,B,B,B,B,B,B,B,B
42,MARION,52,53,43,53,64,62,64,58,449,98,YES,YES,,YES,YES,,51,YES,52,53,43,449,NA,C,C,C,B,B,B,B,B,A,C,B
43,MARTIN,64,66,61,65,68,69,63,63,519,98,YES,YES,,YES,YES,,64,YES,64,66,61,519,NA,B,B,A,A,A,A,A,A,A,A,A
44,MONROE,61,64,46,66,69,69,68,66,509,98,YES,YES,,YES,YES,,61,YES,61,64,46,509,NA,B,B,A,A,A,A,A,A,A,B,B
45,NASSAU,67,70,64,69,71,73,71,67,552,99,YES,YES,,YES,YES,,67,YES,67,70,64,552,NA,A,B,A,A,A,A,A,A,A,A,A
46,OKALOOSA,68,68,59,68,70,72,70,68,543,98,YES,YES,,YES,YES,,68,YES,68,68,59,543,NA,A,B,A,A,A,A,A,A,A,A,A
47,OKEECHOBEE,46,51,43,47,63,63,67,62,442,98,YES,YES,,YES,YES,,45,YES,46,51,43,442,NA,C,D,C,C,C,A,B,B,B,C,B
48,ORANGE,59,62,59,60,67,71,66,65,509,99,YES,YES,,YES,YES,,59,YES,59,62,59,509,NA,B,C,B,B,A,A,A,B,B,B,B
49,OSCEOLA,55,53,59,55,67,65,68,64,486,98,YES,YES,,YES,YES,,55,YES,55,53,59,486,NA,C,C,B,B,B,B,B,C,B,C,C
50,PALM BEACH,59,63,70,60,67,71,66,63,519,99,YES,YES,,YES,YES,,59,YES,59,63,70,519,NA,B,B,A,A,A,A,A,A,A,A,B
51,PASCO,59,57,49,59,65,66,63,58,476,98,YES,YES,,YES,YES,,58,YES,59,57,49,476,NA,C,C,B,B,B,A,A,B,B,B,B
52,PINELLAS,57,55,56,58,64,65,59,59,473,98,YES,YES,,YES,YES,,57,YES,57,55,56,473,NA,C,C,C,B,B,B,B,B,B,B,B
53,POLK,50,49,50,49,61,59,62,59,439,98,YES,YES,,YES,YES,,49,YES,50,49,50,439,NA,C,C,C,C,B,B,B,C,B,C,C
54,PUTNAM,47,54,42,48,61,63,64,64,443,98,YES,YES,,YES,YES,,46,YES,47,54,42,443,NA,C,D,C,C,C,B,C,C,C,C,B
55,ST. JOHNS,77,79,64,79,75,78,68,67,587,99,YES,YES,,YES,YES,,77,YES,77,79,64,587,NA,A,A,A,A,A,A,A,A,A,A,A
56,ST. LUCIE,52,51,59,53,63,65,65,67,475,99,YES,YES,,YES,YES,,51,YES,52,51,59,475,NA,C,C,C,B,B,B,B,C,B,C,B
57,SANTA ROSA,71,72,62,69,71,74,67,67,553,99,YES,YES,,YES,YES,,71,YES,71,72,62,553,NA,A,A,A,A,A,A,A,A,A,A,A
58,SARASOTA,71,71,68,68,71,75,67,65,556,99,YES,YES,,YES,YES,,71,YES,71,71,68,556,NA,A,A,A,A,A,A,A,A,A,A,A
59,SEMINOLE,70,72,59,68,70,74,64,64,541,99,YES,YES,,YES,YES,,70,YES,70,72,59,541,NA,A,A,A,A,A,A,A,A,A,A,A
60,SUMTER,64,66,64,60,68,68,65,60,515,99,YES,YES,,YES,YES,,64,YES,64,66,64,515,NA,B,B,A,A,A,A,A,B,A,B,B
61,SUWANNEE,50,52,45,49,62,65,63,64,450,98,YES,YES,,YES,YES,,49,YES,50,52,45,450,NA,C,D,C,C,C,B,C,C,C,C,C
62,TAYLOR,52,56,55,53,66,68,67,60,477,98,YES,YES,,YES,YES,,51,YES,52,56,55,477,NA,C,C,C,C,C,B,B,B,C,C,C
63,UNION,62,71,68,62,69,75,66,73,546,98,YES,YES,,YES,YES,,62,YES,62,71,68,546,NA,A,B,A,A,B,A,C,B,B,B,B
64,VOLUSIA,56,59,53,64,65,66,64,59,486,98,YES,YES,,YES,YES,,56,YES,56,59,53,486,NA,C,C,C,B,B,A,A,B,B,B,A
65,WAKULLA,65,66,55,66,68,70,62,62,514,99,YES,YES,,YES,YES,,65,YES,65,66,55,514,NA,B,B,A,A,A,A,A,A,A,B,A
66,WALTON,66,69,56,65,69,72,66,70,533,98,YES,YES,,YES,YES,,65,YES,66,69,56,533,NA,A,B,B,A,A,A,A,A,A,B,B
67,WASHINGTON,56,55,55,59,63,66,63,65,482,97,YES,YES,,YES,YES,,56,YES,56,55,55,482,NA,C,C,C,B,C,B,C,B,B,B,B
