District Number,District Name,Reading % Satisfactory or Higher,Math % Satisfactory or Higher,Writing % Satisfactory or Higher,Science % Satisfactory or Higher,Reading Points for Gains,Math Points for Gains,Reading Gains for Low 25%,Math Gains for Low 25% ,Points Earned,Percent Tested,"Reading Gains for Lowest 25%, at Least 50 Points in 2012","Reading Gains for Lowest 25%, at Least 50 Points in 2013",Improvement of the Lowest 25% in Reading,"Math Gains for Lowest 25%, at Least 50 Points in 2012","Math Gains for Lowest 25%, at Least 50 Points in 2013",Improvement of the Lowest 25% in Math,FCAT Reading % Satisfactory or Higher,25% or More of FCAT 2.0 Readers Scoring Satisfactory or Higher,Adjusted Reading % Satisfactory or Higher,Adjusted Math % Satisfactory or Higher,Adjusted Writing % Satisfactory or Higher,"Total Points, Including Adjusted Points if Applicable",Did this District Benefit from the One-Letter-Grade-Drop Protection?,Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,,,,
28,HIGHLANDS,50,54,55,50,60,64,60,58,451,99,YES,YES,,YES,YES,,50,YES,50,54,55,451,NA,C,C,B,C,B,B,C,B,B,B,,,,
29,HILLSBOROUGH,55,58,67,55,63,68,61,62,489,99,YES,YES,,YES,YES,,55,YES,55,58,67,489,NA,C,B,B,A,A,A,B,A,B,B,,,,
30,HOLMES,54,52,43,48,63,62,62,56,440,98,YES,YES,,YES,YES,,53,YES,54,52,43,440,NA,C,C,B,B,B,A,C,B,C,B,,,,
31,INDIAN RIVER,59,55,55,54,63,60,59,56,461,98,YES,YES,,YES,YES,,59,YES,59,55,55,461,NA,C,B,A,A,A,A,B,B,A,B,,,,
32,JACKSON,59,62,53,61,62,64,62,58,481,99,YES,YES,,YES,YES,,59,YES,59,62,53,481,NA,C,B,B,B,B,B,B,B,B,B,,,,
33,JEFFERSON,35,31,45,23,59,50,68,58,369,97,YES,YES,,YES,YES,,35,YES,35,31,45,369,NA,F,D,C,D,F,D,C,C,D,D,,,,
34,LAFAYETTE,50,65,55,56,58,74,49,71,478,99,YES,NO,,YES,YES,,50,YES,50,65,55,478,NA,C,B,B,B,A,B,B,B,C,B,,,,
35,LAKE,56,56,49,55,62,62,61,58,459,99,YES,YES,,YES,YES,,56,YES,56,56,49,459,NA,C,B,B,B,B,A,B,B,B,B,,,,
36,LEE,59,59,59,56,65,65,63,60,486,99,YES,YES,,YES,YES,,59,YES,59,59,59,486,NA,C,B,A,A,A,B,B,B,B,B,,,,
37,LEON,61,64,56,60,66,68,61,57,493,99,YES,YES,,YES,YES,,61,YES,61,64,56,493,NA,C,B,A,A,A,A,A,A,A,A,,,,
38,LEVY,50,56,47,55,64,67,63,61,463,98,YES,YES,,YES,YES,,50,YES,50,56,47,463,NA,C,C,B,B,B,B,C,B,C,B,,,,
39,LIBERTY,56,51,58,47,62,58,64,63,459,98,YES,YES,,YES,YES,,55,YES,56,51,58,459,NA,C,B,A,B,C,B,C,B,B,B,,,,
40,MADISON,41,38,34,31,59,55,57,62,377,97,YES,YES,,YES,YES,,41,YES,41,38,34,377,NA,F,D,D,D,C,D,D,C,D,D,,,,
41,MANATEE,54,55,47,54,64,67,62,60,463,98,YES,YES,,YES,YES,,54,YES,54,55,47,463,NA,C,C,B,B,B,B,B,B,B,B,,,,
42,MARION,53,55,47,55,61,63,60,57,451,98,YES,YES,,YES,YES,,52,YES,53,55,47,451,NA,C,C,B,B,B,B,B,A,C,B,,,,
43,MARTIN,66,66,63,64,69,66,65,57,516,99,YES,YES,,YES,YES,,66,YES,66,66,63,516,NA,B,A,A,A,A,A,A,A,A,A,,,,
44,MONROE,61,66,55,66,64,70,62,60,504,98,YES,YES,,YES,YES,,61,YES,61,66,55,504,NA,B,A,A,A,A,A,A,A,B,B,,,,
45,NASSAU,66,68,60,64,67,68,67,62,522,98,YES,YES,,YES,YES,,66,YES,66,68,60,522,NA,B,A,A,A,A,A,A,A,A,A,,,,
46,OKALOOSA,68,68,55,68,67,70,64,63,523,98,YES,YES,,YES,YES,,68,YES,68,68,55,523,NA,B,A,A,A,A,A,A,A,A,A,,,,
47,OKEECHOBEE,46,51,41,46,60,64,61,61,430,97,YES,YES,,YES,YES,,46,YES,46,51,41,430,NA,D,C,C,C,A,B,B,B,C,B,,,,
48,ORANGE,59,59,54,57,67,67,66,63,492,98,YES,YES,,YES,YES,,58,YES,59,59,54,492,NA,C,B,B,A,A,A,B,B,B,B,,,,
49,OSCEOLA,54,51,64,51,65,64,66,64,479,98,YES,YES,,YES,YES,,54,YES,54,51,64,479,NA,C,B,B,B,B,B,C,B,C,C,,,,
50,PALM BEACH,59,62,70,60,68,68,66,60,513,99,YES,YES,,YES,YES,,59,YES,59,62,70,513,NA,B,A,A,A,A,A,A,A,A,B,,,,
51,PASCO,59,57,56,56,65,69,63,63,488,99,YES,YES,,YES,YES,,59,YES,59,57,56,488,NA,C,B,B,B,A,A,B,B,B,B,,,,
52,PINELLAS,57,55,61,56,63,64,61,62,479,98,YES,YES,,YES,YES,,57,YES,57,55,61,479,NA,C,C,B,B,B,B,B,B,B,B,,,,
53,POLK,50,50,52,46,61,60,61,60,440,98,YES,YES,,YES,YES,,50,YES,50,50,52,440,NA,C,C,C,B,B,B,C,B,C,C,,,,
54,PUTNAM,47,52,43,44,60,58,61,60,425,98,YES,YES,,YES,YES,,46,YES,47,52,43,425,NA,D,C,C,C,B,C,C,C,C,B,,,,
55,ST. JOHNS,75,77,65,76,71,77,66,66,573,99,YES,YES,,YES,YES,,75,YES,75,77,65,573,NA,A,A,A,A,A,A,A,A,A,A,,,,
56,ST. LUCIE,52,51,49,52,63,59,64,60,450,98,YES,YES,,YES,YES,,52,YES,52,51,49,450,NA,C,C,B,B,B,B,C,B,C,B,,,,
57,SANTA ROSA,70,69,63,68,67,69,63,60,529,99,YES,YES,,YES,YES,,70,YES,70,69,63,529,NA,A,A,A,A,A,A,A,A,A,A,,,,
58,SARASOTA,70,70,68,67,69,72,65,62,543,99,YES,YES,,YES,YES,,70,YES,70,70,68,543,NA,A,A,A,A,A,A,A,A,A,A,,,,
59,SEMINOLE,70,70,59,67,69,71,63,60,529,99,YES,YES,,YES,YES,,70,YES,70,70,59,529,NA,A,A,A,A,A,A,A,A,A,A,,,,
60,SUMTER,63,65,69,59,65,66,61,57,505,100,YES,YES,,YES,YES,,63,YES,63,65,69,505,NA,B,A,A,A,A,A,B,A,B,B,,,,
61,SUWANNEE,51,51,38,49,60,62,60,56,427,98,YES,YES,,YES,YES,,51,YES,51,51,38,427,NA,D,C,C,C,B,C,C,C,C,C,,,,
62,TAYLOR,50,55,50,53,58,64,55,60,445,97,YES,YES,,YES,YES,,49,YES,50,55,50,445,NA,C,C,C,C,B,B,B,C,C,C,,,,
63,UNION,61,63,64,51,66,65,59,57,486,98,YES,YES,,YES,YES,,61,YES,64,66,67,495,YES,B,A,A,B,A,C,B,B,B,B,,,,
64,VOLUSIA,56,57,55,63,62,65,60,60,478,99,YES,YES,,YES,YES,,56,YES,56,57,55,478,NA,C,C,B,B,A,A,B,B,B,A,,,,
65,WAKULLA,64,66,53,67,64,69,60,60,503,99,YES,YES,,YES,YES,,64,YES,64,66,53,503,NA,B,A,A,A,A,A,A,A,B,A,,,,
66,WALTON,63,64,57,61,65,66,63,59,498,98,YES,YES,,YES,YES,,63,YES,63,64,57,498,NA,B,B,A,A,A,A,A,A,B,B,,,,
67,WASHINGTON,54,53,43,53,60,64,65,60,452,99,YES,YES,,YES,YES,,53,YES,54,53,43,452,NA,C,C,B,C,B,C,B,B,B,B,,,,
68,DEAF/BLIND,19,27,8,24,58,57,75,63,331,98,,YES,,,YES,,14,NO,19,27,8,331,NA,F,,F,,,,,,,,,,,
71,FL VIRTUAL,73,56,46,62,71,60,67,55,490,95,YES,YES,,NO,YES,,73,YES,73,56,46,490,NA,C,C,,,,,,,,,,,,
72,FAU LAB SCH,79,77,78,79,71,76,73,64,597,100,,YES,,,YES,,79,YES,79,77,78,597,NA,A,,,,,,,,,,,,,
73,FSU LAB SCH,76,76,63,66,68,66,75,63,553,100,,YES,,,YES,,76,YES,76,76,63,553,NA,A,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
