District Number,District Name,% Meeting High Standards in Reading,% Meeting High Standards in Math,% Meeting High Standards in Writing,% Meeting High Standards in Science,% Making Reading Gains ,% Making Math Gains,% of Lowest 25% Making Learning Gains in Reading ,% of Lowest 25% Making Learning Gains in Math,Points Earned (Sum of Previous 8 Columns),Percent Tested,50% or More of Lowest 25% of Readers Making Learning Gains - 2009,50% or More of Lowest 25% of Students Making Learning Gains in Math - 2009,50% or More of Lowest 25% of Readers Making Learning Gains - 2010,50% or More of Lowest 25% of Students Making Learning Gains in Math - 2010,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,
41,MANATEE,65,69,83,44,59,68,54,63,505,99,YES,YES,YES,YES,B,B,B,B,B,B,B,
42,MARION,65,73,84,45,60,70,54,63,514,99,YES,YES,YES,YES,B,B,B,B,A,C,B,
43,MARTIN,77,83,91,60,65,73,56,67,572,99,YES,YES,YES,YES,A,A,A,A,A,A,A,
44,MONROE,74,79,85,58,63,71,57,63,550,99,YES,YES,YES,YES,A,A,A,A,A,B,B,
45,NASSAU,75,81,89,53,63,71,57,64,553,98,YES,YES,YES,YES,A,A,A,A,A,A,A,
46,OKALOOSA,78,84,87,63,65,73,57,67,574,99,YES,YES,YES,YES,A,A,A,A,A,A,A,
47,OKEECHOBEE,61,70,78,39,57,65,55,64,489,99,YES,YES,YES,YES,C,A,B,B,B,C,B,
48,ORANGE,67,72,85,47,62,71,56,66,526,99,YES,YES,YES,YES,A,A,A,B,B,B,B,
49,OSCEOLA,62,66,87,41,60,67,55,66,504,99,YES,YES,YES,YES,B,B,B,C,B,C,C,
50,PALM BEACH,69,78,90,56,64,72,57,66,552,99,YES,YES,YES,YES,A,A,A,A,A,A,B,
51,PASCO,68,71,84,47,60,70,53,64,517,99,YES,YES,YES,YES,B,A,A,B,B,B,B,
52,PINELLAS,67,71,87,46,59,67,51,61,509,98,YES,YES,YES,YES,B,B,B,B,B,B,B,
53,POLK,61,67,85,40,58,67,54,64,496,99,YES,YES,YES,YES,B,B,B,C,B,C,C,
54,PUTNAM,58,66,85,36,55,64,51,61,476,99,YES,YES,YES,YES,C,B,C,C,C,C,B,
55,ST. JOHNS,80,86,90,65,66,74,56,66,583,100,YES,YES,YES,YES,A,A,A,A,A,A,A,
56,ST. LUCIE,61,66,85,41,59,68,54,66,500,99,YES,YES,YES,YES,B,B,B,C,B,C,B,
57,SANTA ROSA,79,83,87,61,65,70,55,64,564,99,YES,YES,YES,YES,A,A,A,A,A,A,A,
58,SARASOTA,76,82,89,59,64,70,55,63,558,99,YES,YES,YES,YES,A,A,A,A,A,A,A,
59,SEMINOLE,78,83,89,62,66,74,56,67,575,99,YES,YES,YES,YES,A,A,A,A,A,A,A,
60,SUMTER,71,80,89,57,61,71,54,67,550,100,YES,YES,YES,YES,A,A,A,B,A,B,B,
61,SUWANNEE,58,64,76,42,54,66,49,62,471,98,YES,YES,NO,YES,C,B,C,C,C,C,C,
62,TAYLOR,63,70,78,37,58,67,52,62,487,99,YES,YES,YES,YES,C,B,B,B,C,C,C,
63,UNION,69,74,89,46,60,67,55,59,519,99,YES,YES,YES,YES,B,A,C,B,B,B,B,
64,VOLUSIA,69,72,85,53,60,68,53,63,523,99,YES,YES,YES,YES,B,A,A,B,B,B,A,
65,WAKULLA,75,80,80,61,62,72,57,69,556,99,YES,YES,YES,YES,A,A,A,A,A,B,A,
66,WALTON,72,78,84,52,62,72,58,65,543,99,YES,YES,YES,YES,A,A,A,A,A,B,B,
67,WASHINGTON,69,72,77,42,58,66,49,58,491,99,YES,YES,NO,YES,C,B,C,B,B,B,B,
