District Number,District Name,% Meeting High Standards in Reading,% Meeting High Standards in Math,% Meeting High Standards in Writing,% Meeting High Standards in Science,% Making Reading Gains ,% Making Math Gains,% of Lowest 25% Making Learning Gains in Reading ,% of Lowest 25% Making Learning Gains in Math,Points Earned (Sum of Previous 8 Columns),Percent Tested,50% or More of Lowest 25% of Readers Making Learning Gains - 2008,50% or More of Lowest 25% of Students Making Learning Gains in Math - 2008,50% or More of Lowest 25% of Readers Making Learning Gains - 2009,50% or More of Lowest 25% of Students Making Learning Gains in Math - 2009,Grade 09,Grade 08,Grade 07,Grade 06,Grade 05,Grade 04
36,LEE,70,73,88,44,65,70,62,66,538,99,YES,YES,YES,YES,A,B,B,B,B,B
37,LEON,71,76,88,52,63,68,54,60,532,99,YES,YES,YES,YES,A,A,A,A,A,A
38,LEVY,65,72,84,47,60,68,59,66,521,99,YES,YES,YES,YES,B,B,C,B,C,B
39,LIBERTY,65,67,82,29,56,64,56,63,482,99,YES,YES,YES,YES,C,B,C,B,B,B
40,MADISON,53,48,78,28,55,58,62,59,441,99,YES,YES,YES,YES,C,D,D,C,D,D
41,MANATEE,66,69,84,43,63,68,61,63,517,99,YES,YES,YES,YES,B,B,B,B,B,B
42,MARION,66,72,84,45,61,70,61,65,524,99,YES,YES,YES,YES,B,B,B,A,C,B
43,MARTIN,77,84,93,59,65,73,59,65,575,99,YES,YES,YES,YES,A,A,A,A,A,A
44,MONROE,75,81,91,53,65,71,62,64,562,99,YES,YES,YES,YES,A,A,A,A,B,B
45,NASSAU,73,79,89,49,65,72,62,66,555,99,YES,YES,YES,YES,A,A,A,A,A,A
46,OKALOOSA,80,84,90,63,66,71,62,62,578,99,YES,YES,YES,YES,A,A,A,A,A,A
47,OKEECHOBEE,62,72,84,42,63,71,65,71,530,99,YES,YES,YES,YES,A,B,B,B,C,B
48,ORANGE,67,72,88,46,63,71,60,66,533,99,YES,YES,YES,YES,A,A,B,B,B,B
49,OSCEOLA,62,66,85,40,62,70,62,67,514,99,YES,YES,YES,YES,B,B,C,B,C,C
50,PALM BEACH,68,77,92,52,65,73,63,67,557,99,YES,YES,YES,YES,A,A,A,A,A,B
51,PASCO,69,70,84,45,63,71,62,66,530,99,YES,YES,YES,YES,A,A,B,B,B,B
52,PINELLAS,67,72,88,45,62,69,58,62,523,99,YES,YES,YES,YES,B,B,B,B,B,B
53,POLK,61,66,86,39,60,67,60,64,503,98,YES,YES,YES,YES,B,B,C,B,C,C
54,PUTNAM,61,67,86,36,58,65,60,62,495,98,YES,YES,YES,YES,B,C,C,C,C,B
55,ST. JOHNS,81,85,90,63,67,75,61,67,589,99,YES,YES,YES,YES,A,A,A,A,A,A
56,ST. LUCIE,60,65,86,38,61,68,62,66,506,98,YES,YES,YES,YES,B,B,C,B,C,B
57,SANTA ROSA,79,83,90,62,66,73,64,64,581,99,YES,YES,YES,YES,A,A,A,A,A,A
58,SARASOTA,76,81,90,57,65,72,61,63,565,99,YES,YES,YES,YES,A,A,A,A,A,A
59,SEMINOLE,77,82,89,59,66,73,61,65,572,99,YES,YES,YES,YES,A,A,A,A,A,A
60,SUMTER,73,78,92,52,62,71,60,65,553,99,YES,YES,YES,YES,A,A,B,A,B,B
61,SUWANNEE,61,64,78,42,60,65,63,64,497,98,YES,YES,YES,YES,B,C,C,C,C,C
62,TAYLOR,65,69,84,37,60,66,58,65,504,98,YES,YES,YES,YES,B,B,B,C,C,C
63,UNION,69,72,95,41,64,72,61,69,543,99,YES,YES,YES,YES,A,C,B,B,B,B
64,VOLUSIA,69,72,86,52,63,68,60,63,533,99,YES,YES,YES,YES,A,A,B,B,B,A
65,WAKULLA,75,78,89,52,64,70,60,64,552,99,YES,YES,YES,YES,A,A,A,A,B,A
66,WALTON,72,76,91,47,64,69,64,63,546,99,YES,YES,YES,YES,A,A,A,A,B,B
67,WASHINGTON,68,71,83,42,65,69,62,63,523,99,YES,YES,YES,YES,B,C,B,B,B,B
