2009-2010 Alternative School Improvement Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District-School Number,District Number,District Name,School Number,School Name,% Making Reading Gains in 2010,% Making Reading Gains in 2009,Difference in Reading Gains between 2010 and 2009,"Improving, Maintaining, or Declining in Reading",% Making Math Gains in 2010,% Making Math Gains in 2009,Difference in Math Gains between 2010 and 2009,"Improving, Maintaining, or Declining in Math",Percent Tested,Final Improvement Rating,Improvement Rating 09,Improvement Rating 08,Grade_09 ,Grade 08,Grade 07,Grade 06,Grade 05,Grade 04,Grade 03,Charter,School Type,Minority Rate,Free or Reduced Lunch Rate,Region
172081,17,ESCAMBIA,2081,ESCAMBIA CHARTER SCHOOL,,,,,,,,,83,I,DECLINING,DECLINING,,,,,,,,YES,03,90,82,1
180014,18,FLAGLER,0014,PATHWAYS ACADEMY,32,37,-5,DECLINING,55,50,5,IMPROVING,91,DECLINING,,,,,,,,,,NO,04,41,76,2
320212,32,JACKSON,0212,JACKSON ALTERNATIVE SCHOOL,25,49,-24,DECLINING,43,51,-8,DECLINING,97,DECLINING,DECLINING,DECLINING,,,,,,,,NO,04,48,79,1
359018,35,LAKE,9018,ALEE ACADEMY CHARTER SCHOOL,19,39,-20,DECLINING,48,59,-11,DECLINING,91,DECLINING,DECLINING,DECLINING,,,P,P,F,,,YES,03,49,63,3
371411,37,LEON,1411,LIFE SKILLS CENTER,,,,,,,,,89,I,,,,,,,,,,YES,03,79,45,1
410731,41,MANATEE,0731,HORIZONS ACADEMY,31,43,-12,DECLINING,33,55,-22,DECLINING,95,DECLINING,,,,,P,,,,,NO,04,55,64,4
412007,41,MANATEE,2007,JUST FOR GIRLS,55,64,-9,DECLINING,50,52,-2,MAINTAINING,98,DECLINING,DECLINING,MAINTAINING,,,,,,,,NO,02,70,86,4
412062,41,MANATEE,2062,FLORIDA SHERIFF'S YOUTH RANCH,80,20,60,IMPROVING,50,60,-10,DECLINING,100,DECLINING,IMPROVING,,,,,,,,,NO,04,31,100,4
412107,41,MANATEE,2107,RICHARD MILBURN ACADEMY,,,,,,,,,87,I,,,,,,P,,,,YES,03,75,53,4
429731,42,MARION,9731,KINGSBURY ACADEMY,32,53,-21,DECLINING,45,66,-21,DECLINING,98,DECLINING,DECLINING,,,,,,,,,NO,04,62,93,2
460791,46,OKALOOSA,0791,EMERALD COAST CAREER INSTITUTE N,36,45,-9,DECLINING,65,48,17,IMPROVING,100,DECLINING,,,,,,,,,,NO,04,36,70,1
469800,46,OKALOOSA,9800,OKALOOSA ACADEMY,22,54,-32,DECLINING,34,55,-21,DECLINING,100,DECLINING,,DECLINING,,,P,P,F,,,YES,04,45,76,1
470113,47,OKEECHOBEE,0113,NEW ENDEAVOR HIGH SCHOOL,40,46,-6,DECLINING,47,49,-2,MAINTAINING,95,DECLINING,DECLINING,,,,,,F,,,NO,04,50,67,4
480042,48,ORANGE,0042,BETA,43,46,-3,MAINTAINING,73,46,27,IMPROVING,100,MAINTAINING,DECLINING,DECLINING,,,,,,,,NO,04,93,54,3
480392,48,ORANGE,0392,SILVER STAR CENTER,47,44,3,MAINTAINING,43,37,6,IMPROVING,94,MAINTAINING,,,,,,,,,,NO,04,88,82,3
481811,48,ORANGE,1811,ACCELERATION ACADEMY,33,58,-25,DECLINING,57,67,-10,DECLINING,100,DECLINING,,,,,,,,,,NO,03,83,82,3
499003,49,OSCEOLA,9003,ZENITH MIDDLE SCHOOL RECOVERY PROGRAM,26,37,-11,DECLINING,43,63,-20,DECLINING,94,DECLINING,,,,,,,,,,NO,04,83,81,3
500842,50,PALM BEACH,0842,TURNING POINTS ACADEMY,37,53,-16,DECLINING,58,51,7,IMPROVING,96,DECLINING,DECLINING,,,I,,,,,,NO,04,91,88,5
501641,50,PALM BEACH,1641,GOLD COAST COMMUNITY SCHOOL,48,52,-4,MAINTAINING,51,60,-9,DECLINING,100,DECLINING,MAINTAINING,,,F,P,P,F,P,,NO,04,94,88,5
502641,50,PALM BEACH,2641,LAKESIDE ACADEMY,55,65,-10,DECLINING,48,52,-4,MAINTAINING,100,DECLINING,IMPROVING,DECLINING,,,A,,,,F,YES,04,100,100,5
503002,50,PALM BEACH,3002,PALM BEACH COUNTY JAIL,30,56,-26,DECLINING,33,44,-11,DECLINING,95,DECLINING,MAINTAINING,,,,,,,,,NO,04,89,59,5
503024,50,PALM BEACH,3024,HIGHRIDGE FAMILY CENTER,59,59,0,MAINTAINING,74,52,22,IMPROVING,100,MAINTAINING,DECLINING,,,,,,,,,NO,04,61,67,5
503026,50,PALM BEACH,3026,EAGLE YOUTH ACADEMY,60,64,-4,MAINTAINING,74,58,16,IMPROVING,100,MAINTAINING,IMPROVING,,,,,,,,,NO,04,59,48,5
503046,50,PALM BEACH,3046,SOUTH AREA SECONDARY INTENSIVE TRANSITION PROGRAM,52,42,10,IMPROVING,66,51,15,IMPROVING,97,IMPROVING,DECLINING,,,F,P,,,,,NO,04,87,85,5
503101,50,PALM BEACH,3101,CROSSROADS ACADEMY,37,35,2,MAINTAINING,45,53,-8,DECLINING,96,DECLINING,DECLINING,,,F,P,P,,,,NO,04,93,92,5
503349,50,PALM BEACH,3349,LIFE SKILL CENTER OF PALM BEACH,,,,,,,,,89,I,DECLINING,DECLINING,,,,,,,,YES,03,83,42,5
503355,50,PALM BEACH,3355,ROOSEVELT FULL SERVICE CENTER,21,21,0,MAINTAINING,40,50,-10,DECLINING,100,DECLINING,DECLINING,,,,,,,,,NO,03,97,76,5
510242,51,PASCO,0242,SCHWETTMAN EDUCATION CENTER,35,40,-5,DECLINING,51,53,-2,MAINTAINING,97,DECLINING,,,,,,,,,,NO,04,20,76,4
517071,51,PASCO,7071,JAMES IRVIN EDUCATION CENTER,33,60,-27,DECLINING,47,63,-16,DECLINING,95,DECLINING,,,,,,P,,,,NO,04,44,81,4
522151,52,PINELLAS,2151,LEALMAN INTERMEDIATE,41,61,-20,DECLINING,53,51,2,MAINTAINING,99,DECLINING,MAINTAINING,DECLINING,,,P,P,F,P,,NO,04,50,79,4
522441,52,PINELLAS,2441,CHI CHI RODRIQUEZ ACADEMY,49,64,-15,DECLINING,59,55,4,MAINTAINING,100,DECLINING,MAINTAINING,IMPROVING,,,,,,,,NO,01,38,52,4
523341,52,PINELLAS,3341,CLEARWATER INTERMEDIATE,43,55,-12,DECLINING,51,51,0,MAINTAINING,99,DECLINING,MAINTAINING,MAINTAINING,,,P,P,D,P,,NO,04,56,81,4
527241,52,PINELLAS,7241,MAVERICKS IN EDUCATION,,,,,,,,,61,I,,,,,,,,,,YES,03,28,47,4
527721,52,PINELLAS,7721,LIFE SKILLS CENTER OF PINELLAS COUNTY,,,,,,,,,74,I,,,,,,,,,,YES,03,56,55,4
527731,52,PINELLAS,7731,LIFE SKILLS CENTER NORTH,,,,,,,,,58,I,,,,,,,,,,YES,03,38,38,4
530932,53,POLK,0932,COMPASS MIDDLE CHARTER SCHOOL,62,46,16,IMPROVING,59,33,26,IMPROVING,99,IMPROVING,IMPROVING,MAINTAINING,,,P,P,D,F,N,YES,02,56,83,4
531491,53,POLK,1491,GAUSE ACADEMY OF LEADERSHIP,40,42,-2,MAINTAINING,48,52,-4,MAINTAINING,93,MAINTAINING,DECLINING,MAINTAINING,,,P,P,F,P,,NO,04,52,80,4
538146,53,POLK,8146,LIFE SKILLS CENTER POLK COUNTY EAST,,,,,,,,,80,I,,,,,,,,,,YES,03,69,48,4
539203,53,POLK,9203,LAKELAND B.E.S.T. PROGRAM,30,50,-20,DECLINING,10,70,-60,DECLINING,100,DECLINING,,,,,,,,,,NO,01,77,94,4
539221,53,POLK,9221,NEW HORIZONS,40,50,-10,DECLINING,82,55,27,IMPROVING,94,DECLINING,,,,,,,,,,NO,04,55,100,4
539231,53,POLK,9231,LAKE ALFRED B.E.S.T PROGRAM,17,75,-58,DECLINING,8,33,-25,DECLINING,95,DECLINING,DECLINING,,,,,,,,,NO,01,80,98,4
539233,53,POLK,9233,SHERIFF'S YOUTH VILLA,50,58,-8,DECLINING,83,58,25,IMPROVING,90,DECLINING,DECLINING,,,,,,,,,NO,04,23,91,4
560205,56,ST. LUCIE,0205,DALE CASSENS EDUCATIONAL COMPLEX,37,57,-20,DECLINING,58,54,4,MAINTAINING,93,DECLINING,,,,,,,,,,NO,04,72,82,3
560206,56,ST. LUCIE,0206,DELAWARE AVENUE SCHOOL,31,44,-13,DECLINING,24,46,-22,DECLINING,94,DECLINING,DECLINING,,,,,,,,,NO,04,83,89,3
647891,64,VOLUSIA,7891,RICHARD MILBURN ACADEMY,19,31,-12,DECLINING,35,49,-14,DECLINING,90,DECLINING,,,,,,,,,,YES,03,47,55,2
661111,66,WALTON,1111,"WALTON ACADEMY, INC.",35,57,-22,DECLINING,65,48,17,IMPROVING,98,DECLINING,DECLINING,IMPROVING,,,P,P,F,P,,YES,04,19,89,1
670152,67,WASHINGTON,0152,WASHINGTON INSTITUTE FOR SPECIALIZED EDUCATION,31,62,-31,DECLINING,23,54,-31,DECLINING,95,DECLINING,,,,,,,,,,NO,04,52,85,1
