2012-2013 Alternative School Improvement Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District-School Number,District Number,District Name,School Number,School Name,% Making Reading Gains in 2013,% Making Reading Gains in 2012,Difference in Reading Gains between 2013 and 2012,"Improving, Maintaining, or Declining in Reading",% Making Math Gains in 2013,% Making Math Gains in 2012,Difference in Math Gains between 2013 and 2012,"Improving, Maintaining, or Declining in Math",Percent Tested,Final Improvement Rating,Improvement Rating 12,Improvement Rating 11,Improvement Rating 10,Improvement Rating 09,Improvement Rating 08,Grade 12,Grade 11,Grade 10,Grade 09,Grade 08,Grade 07,Grade 06,Grade 05,Grade 04,Grade 03,Charter,School Type,Minority Rate,Free or Reduced Lunch Rate,Region,ESE Center,
060422,06,BROWARD,0422,SUNSET SCHOOL,40,52,-12,DECLINING,55,40,15,IMPROVING,95,DECLINING,IMPROVING,,,,,,,,,,,,,,,NO,04,66,74,5,YES,
060653,06,BROWARD,0653,PINE RIDGE ALTERNATIVE CENTER,,,,,,,,,87,I,,DECLINING,,DECLINING,IMPROVING,,,,,,P,P,F,,,NO,04,91,89,5,NO,
060871,06,BROWARD,0871,BRIGHT HORIZONS,60,34,26,IMPROVING,56,39,17,IMPROVING,98,IMPROVING,IMPROVING,,,,,,,,,,,,,,,NO,04,64,61,5,YES,
060991,06,BROWARD,0991,WINGATE OAKS CENTER,42,54,-12,DECLINING,61,43,18,IMPROVING,96,DECLINING,DECLINING,,,,,,,,,,,,,,,NO,04,75,56,5,YES,
061021,06,BROWARD,1021,THE QUEST CENTER,38,44,-6,DECLINING,37,50,-13,DECLINING,97,DECLINING,IMPROVING,,,,,,,,,,,,,,,NO,04,73,71,5,YES,
061752,06,BROWARD,1752,WHISPERING PINES SCHOOL,46,56,-10,DECLINING,54,49,5,IMPROVING,91,DECLINING,DECLINING,,,,,,,,,,,,,,,NO,04,68,63,5,YES,
063222,06,BROWARD,3222,CROSS CREEK SCHOOL,45,53,-8,DECLINING,63,32,31,IMPROVING,95,DECLINING,DECLINING,,,,,,,,,,,,,,,NO,04,67,78,5,YES,
063651,06,BROWARD,3651,DAVE THOMAS EDUCATION CENTER,,,,,,,,,74,I,,DECLINING,,DECLINING,,,,,,,P,P,F,P,,NO,04,93,81,5,NO,
065009,06,BROWARD,5009,MAVERICKS HIGH OF NORTH BROWARD COUNTY,,,,,,,,,86,I,,,,,,,,,,,,,,,,YES,03,87,85,5,NO,
080042,08,CHARLOTTE,0042,CHARLOTTE HARBOR SCHOOL,41,50,-9,DECLINING,50,43,7,IMPROVING,95,DECLINING,IMPROVING,,,,,,,,,,,,,,,NO,04,38,75,4,YES,
090201,09,CITRUS,0201,CREST SCHOOL,33,60,-27,DECLINING,47,61,-14,DECLINING,90,DECLINING,IMPROVING,,,,,,,,,,,,,,,NO,04,12,66,4,YES,
090321,09,CITRUS,0321,CITRUS COUNTY RENAISSANCE CENTER,,,,,,,,,78,I,,,,,,,,,,,P,P,,,,NO,04,21,81,4,NO,
100111,10,CLAY,0111,R. C. BANNERMAN LEARNING CENTER,37,63,-26,DECLINING,28,40,-12,DECLINING,94,DECLINING,DECLINING,DECLINING,,,,,,,,,,,,,,NO,04,38,72,2,NO,
119007,11,COLLIER,9007,NEW BEGINNINGS IMMOKALEE,33,63,-30,DECLINING,50,46,4,MAINTAINING,100,DECLINING,DECLINING,DECLINING,IMPROVING,IMPROVING,,,,,,,,,,,,NO,04,87,100,4,NO,
119010,11,COLLIER,9010,NEW BEGINNINGS - NAPLES,65,45,20,IMPROVING,63,59,4,MAINTAINING,100,MAINTAINING,IMPROVING,MAINTAINING,DECLINING,IMPROVING,MAINTAINING,,,,,,P,P,C,P,,NO,04,72,90,4,NO,
120221,12,COLUMBIA,0221,CHALLENGE LEARNING CENTER,,,,,,,,,88,I,,,,DECLINING,DECLINING,,,,,,,,,,,NO,04,54,85,2,NO,
130921,13,DADE,0921,NEVA KING COOPER EDUCATIONAL CENTER,39,9,30,IMPROVING,40,2,38,IMPROVING,98,IMPROVING,,,,,,F,,,,,,,,,,NO,04,83,84,5,YES,
131070,13,DADE,1070,SOUTH FLORIDA AUTISM CHARTER SCHOOL INC,59,44,15,IMPROVING,51,46,5,IMPROVING,100,IMPROVING,IMPROVING,,,,,,,,,,,,,,,YES,04,85,33,5,YES,
137062,13,DADE,7062,MAVERICKS HIGH OF NORTH MIAMI DADE COUNTY,,,,,,,,,78,I,,,,,,,,,,,,,,,,YES,03,98,53,5,NO,
137631,13,DADE,7631,MIAMI MACARTHUR SOUTH,,,,,,,,,70,I,,,,,,,,,,,,P,F,,,NO,04,94,90,5,NO,
138019,13,DADE,8019,ACADEMY FOR COMMUNITY EDUCATION (ACE),53,44,9,IMPROVING,57,36,21,IMPROVING,97,IMPROVING,DECLINING,DECLINING,,,,,,,,,,P,F,P,,NO,03,98,91,5,NO,
138121,13,DADE,8121,COPE CENTER NORTH,,,,,,,,,84,I,,DECLINING,,,,,,F,,,,P,F,P,,NO,04,99,91,5,NO,
138131,13,DADE,8131,DOROTHY M. WALLACE COPE CENTER,,,,,,,,,83,I,,DECLINING,,,DECLINING,,,,F,,P,P,F,,,NO,04,97,97,5,NO,
138151,13,DADE,8151,ROBERT RENICK EDUCATION CENTER,,,,,,,,,87,I,,,,,,F,,,,,,,,,,NO,04,95,96,5,YES,
138181,13,DADE,8181,RUTH OWENS KRUSE EDUCATION CENTER,48,50,-2,MAINTAINING,50,59,-9,DECLINING,95,DECLINING,,,,,,D,,,,,,,,,,NO,04,88,89,5,YES,
139732,13,DADE,9732,MERRICK EDUCATIONAL CENTER,35,49,-14,DECLINING,30,38,-8,DECLINING,92,DECLINING,,,,,,F,,,I,C,F,I,F,,,NO,04,91,59,5,YES,
160061,16,DUVAL,0061,MATTIE V RUTHERFORD ALT ED CENTER,36,46,-10,DECLINING,30,47,-17,DECLINING,96,DECLINING,,,,,,,,,,,,,,,,NO,02,86,91,2,NO,
160112,16,DUVAL,0112,SCHOOL FOR THE FUTURE,38,33,5,IMPROVING,44,27,17,IMPROVING,96,IMPROVING,DECLINING,,,,,,,,,,,,,,,NO,04,91,88,2,NO,
160541,16,DUVAL,0541,JAMES WELDON JOHNSON ACADEMIC AND CAREER TRAINING CENTER,24,45,-21,DECLINING,19,40,-21,DECLINING,100,DECLINING,DECLINING,,,,,,,,,,,,,,,NO,02,89,94,2,NO,
161641,16,DUVAL,1641,MT. HERMAN ESE CENTER,38,26,12,IMPROVING,29,25,4,MAINTAINING,94,MAINTAINING,DECLINING,,,,,,,,,,,,,,,NO,04,65,61,2,YES,
161701,16,DUVAL,1701,PALM AVENUE EXCEP. STUDENT CENTER,49,59,-10,DECLINING,54,68,-14,DECLINING,100,DECLINING,IMPROVING,,,,,,,,,,,,,,,NO,04,66,74,2,YES,
162521,16,DUVAL,2521,ALDEN ROAD EXCEP. STUDENT CENTER,34,66,-32,DECLINING,40,53,-13,DECLINING,100,DECLINING,IMPROVING,,,,,,,,,,,,,,,NO,04,54,47,2,YES,
170211,17,ESCAMBIA,0211,CAMELOT ACADEMY OF ESCAMBIA COUNTY,41,36,5,IMPROVING,35,37,-2,MAINTAINING,94,MAINTAINING,DECLINING,DECLINING,,,,,,,,,,D,D,P,,NO,04,83,94,1,NO,
170922,17,ESCAMBIA,0922,ESCAMBIA WESTGATE CENTER,63,38,25,IMPROVING,61,36,25,IMPROVING,100,IMPROVING,DECLINING,,,,,,,,,,,,,,,NO,04,51,78,1,YES,
172104,17,ESCAMBIA,2104,JACKIE HARRIS PREPARATORY ACADEMY,43,33,10,IMPROVING,48,33,15,IMPROVING,100,IMPROVING,IMPROVING,DECLINING,,,,,,C,A,B,C,P,C,C,N,YES,01,100,90,1,NO,
200231,20,GADSDEN,0231,CARTER PARRAMORE ACADEMY,20,43,-23,DECLINING,33,21,12,IMPROVING,91,DECLINING,DECLINING,MAINTAINING,,DECLINING,,,,,,,P,P,,,C,NO,04,99,79,1,NO,
209102,20,GADSDEN,9102,HOPE ACADEMY,,,,,,,,,78,I,,,,,,,,,,,,,,,,NO,04,100,92,1,NO,
290063,29,HILLSBOROUGH,0063,CARVER EXCEPTIONAL CENTER,39,45,-6,DECLINING,75,30,45,IMPROVING,97,DECLINING,,,,,,,,,,,,,,,,NO,04,92,96,4,YES,
294321,29,HILLSBOROUGH,4321,DOROTHY THOMAS CENTER,54,42,12,IMPROVING,39,43,-4,MAINTAINING,98,MAINTAINING,IMPROVING,,,,,,,,,,,,,,,NO,04,64,77,4,YES,
296609,29,HILLSBOROUGH,6609,PEPIN ACADEMY OF TAMPA,74,57,17,IMPROVING,67,43,24,IMPROVING,99,IMPROVING,DECLINING,,,,,,,,,,,,,,,YES,03,43,21,4,YES,
296628,29,HILLSBOROUGH,6628,PEPIN ELEMENTARY SCHOOL,34,34,0,MAINTAINING,47,44,3,MAINTAINING,98,MAINTAINING,DECLINING,,,,,,,,,,,,,,,YES,01,59,50,4,YES,
296631,29,HILLSBOROUGH,6631,PEPIN MIDDLE SCHOOL,48,49,-1,MAINTAINING,55,46,9,IMPROVING,99,MAINTAINING,DECLINING,,,,,,,,,,,,,,,YES,02,51,36,4,YES,
296639,29,HILLSBOROUGH,6639,FLORIDA AUTISM CHARTER SCHOOL OF EXCELLENCE,57,43,14,IMPROVING,50,45,5,IMPROVING,93,IMPROVING,DECLINING,,,,,,,,,,,,,,,YES,04,59,53,4,YES,
310033,31,INDIAN RIVER,0033,ALTERNATIVE CENTER FOR EDUCATION,,,,,,,,,84,I,,,,,,,,,,,,,,P,,NO,04,68,71,3,NO,
310131,31,INDIAN RIVER,0131,WABASSO SCHOOL,,,,,,,,,86,I,,,,,,,,,,,,,,,,NO,04,49,57,3,YES,
320202,32,JACKSON,0202,HOPE SCHOOL,51,43,8,IMPROVING,57,51,6,IMPROVING,99,IMPROVING,DECLINING,,,,,,,,,,,,,,,NO,04,38,82,1,YES,
320212,32,JACKSON,0212,JACKSON ALTERNATIVE SCHOOL,33,63,-30,DECLINING,35,45,-10,DECLINING,92,DECLINING,DECLINING,,DECLINING,DECLINING,DECLINING,,,,,,,,,,,NO,04,53,89,1,NO,
336016,33,JEFFERSON,6016,TURNING POINT,,,,,,,,,73,I,,,,,,,,,,,,,,,,NO,04,80,78,1,NO,
350533,35,LAKE,0533,LAKE HILLS SCHOOL,52,40,12,IMPROVING,54,40,14,IMPROVING,100,IMPROVING,MAINTAINING,,,,,,,,,,,,,,,NO,04,45,68,3,YES,
360152,36,LEE,0152,LEE ADOLESCENT MOTHERS PROGRAM,,,,,,,,,69,I,,DECLINING,,,,,,,,,,,,,,NO,04,87,98,4,NO,
360651,36,LEE,0651,ROYAL PALM EXCEPTIONAL SCHOOL CENTER,27,44,-17,DECLINING,34,29,5,IMPROVING,92,DECLINING,DECLINING,,,,,,,,,,,,,,,NO,04,64,94,4,YES,
360701,36,LEE,0701,BUCKINGHAM EXCEPTIONAL STUDENT CENTER,47,40,7,IMPROVING,44,31,13,IMPROVING,97,IMPROVING,IMPROVING,,,,,,,,,,,,,,,NO,04,68,81,4,YES,
370191,37,LEON,0191,SECOND CHANCE AT GHAZVINI LEARNING CENTER,42,40,2,MAINTAINING,41,46,-5,DECLINING,99,DECLINING,,,,,,,,,,,P,,F,,,NO,04,84,92,1,NO,
370411,37,LEON,0411,GRETCHEN EVERHART SCHOOL,24,38,-14,DECLINING,20,32,-12,DECLINING,100,DECLINING,IMPROVING,,,,,,,,,,,,,,,NO,04,50,69,1,YES,
370452,37,LEON,0452,PACE SECONDARY SCHOOL,40,53,-13,DECLINING,56,53,3,MAINTAINING,92,DECLINING,,,,,,,,,,,,,,,,NO,04,68,85,1,YES,
371211,37,LEON,1211,SUCCESS ACADEMY AT GHAZVINI LEARNING CENTER,47,50,-3,MAINTAINING,71,55,16,IMPROVING,98,MAINTAINING,MAINTAINING,DECLINING,,,,,,,,,,,,,,NO,04,82,78,1,NO,
380023,38,LEVY,0023,HILLTOP ALTERNATIVE SCHOOL,,,,,,,,,77,I,,,,,IMPROVING,,,,,,,,,,,NO,04,41,90,2,NO,
410212,41,MANATEE,0212,CENTRAL HIGH SCHOOL,37,50,-13,DECLINING,36,42,-6,DECLINING,92,DECLINING,DECLINING,DECLINING,,DECLINING,MAINTAINING,,,,,,P,F,F,,,NO,04,75,78,4,NO,
410731,41,MANATEE,0731,HORIZONS ACADEMY,,,,,,,,,70,I,,,DECLINING,,,,,,,,P,,,,,NO,04,62,78,4,NO,
412007,41,MANATEE,2007,JUST FOR GIRLS,56,50,6,IMPROVING,38,47,-9,DECLINING,95,DECLINING,DECLINING,DECLINING,DECLINING,DECLINING,MAINTAINING,,,,,,,,,,,NO,02,78,92,4,NO,
412056,41,MANATEE,2056,MANATEE PALMS YOUTH SERVICES,,,,,,,,,77,I,,,,,,,,,,,,,,,,NO,04,43,3,4,YES,
412073,41,MANATEE,2073,Y TECHNICAL HIGH SCHOOL,,,,,,,,,76,I,,,,,,,,,,,,,,,,NO,03,84,66,4,NO,
420471,42,MARION,0471,HILLCREST,54,47,7,IMPROVING,55,48,7,IMPROVING,100,IMPROVING,DECLINING,,,,,,,,,,,,,,,NO,04,44,76,2,YES,
429618,42,MARION,9618,SILVER RIVER MENTORING AND INSTRUCTION,,,,,,,,,58,I,,,,,,,,,,,,,,,,NO,04,50,82,2,NO,
429731,42,MARION,9731,KINGSBURY ACADEMY,30,45,-15,DECLINING,40,38,2,MAINTAINING,97,DECLINING,DECLINING,,DECLINING,DECLINING,,,,,,,,,,,,NO,04,63,88,2,NO,
460241,46,OKALOOSA,0241,SILVER SANDS-EXCEP. CHILDREN,66,40,26,IMPROVING,51,37,14,IMPROVING,93,IMPROVING,IMPROVING,,,,,,,,,,,,,,,NO,04,34,68,1,YES,
460701,46,OKALOOSA,0701,CHOICE HIGH SCHOOL AND TECHNICAL CENTER,,,,,,,,,88,I,,DECLINING,,,,,,,,,,,,,,NO,04,37,58,1,NO,
460791,46,OKALOOSA,0791,EMERALD COAST CAREER INSTITUTE N,,,,,,,,,88,I,DECLINING,,DECLINING,,,,F,,,,,,,,,NO,04,29,65,1,NO,
460801,46,OKALOOSA,0801,RICHBOURG SCHOOL,39,72,-33,DECLINING,56,78,-22,DECLINING,93,DECLINING,IMPROVING,,,,,,,,,,,,,,,NO,04,17,57,1,YES,
469800,46,OKALOOSA,9800,OKALOOSA ACADEMY,,,,,,,,,71,I,,DECLINING,DECLINING,,DECLINING,,,,,,P,P,F,,,YES,04,50,71,1,NO,
470113,47,OKEECHOBEE,0113,OKEECHOBEE ACHIEVEMENT ACADEMY,49,50,-1,MAINTAINING,53,45,8,IMPROVING,90,MAINTAINING,,,DECLINING,DECLINING,,,,,,,,,F,,,NO,04,50,80,4,NO,
480032,48,ORANGE,0032,ESTEEM ACADEMY,80,73,7,IMPROVING,64,64,0,MAINTAINING,95,MAINTAINING,,IMPROVING,,DECLINING,,,,,,,,,,,,NO,04,42,100,3,NO,
480034,48,ORANGE,0034,UCP TRANSITIONAL LEARNING ACADEMY CHARTER,53,47,6,IMPROVING,43,43,0,MAINTAINING,91,MAINTAINING,,,,,,,,,,,,,,,,YES,02,57,57,3,YES,
480040,48,ORANGE,0040,PROSPERITAS LEADERSHIP ACADEMY CHARTER,56,36,20,IMPROVING,27,64,-37,DECLINING,95,DECLINING,,,,,,,,,,,,,,,,YES,03,98,85,3,NO,
480055,48,ORANGE,0055,PRINCETON HOUSE CHARTER,50,61,-11,DECLINING,39,28,11,IMPROVING,99,DECLINING,DECLINING,,,,,,,,,,,,,,,YES,01,55,27,3,YES,
480142,48,ORANGE,0142,CHEROKEE,62,31,31,IMPROVING,48,44,4,MAINTAINING,98,MAINTAINING,,,,,,,,,,,,,,,,NO,01,80,99,3,YES,
480152,48,ORANGE,0152,INNOVATIONS MIDDLE CHARTER,46,45,1,MAINTAINING,33,37,-4,MAINTAINING,98,MAINTAINING,,,,,,F,,,,,,,,,,YES,02,97,95,3,NO,
480177,48,ORANGE,0177,ACCESS CHARTER,60,58,2,MAINTAINING,66,51,15,IMPROVING,100,MAINTAINING,DECLINING,,,,,,,,,,,,,,,YES,04,38,13,3,YES,
480764,48,ORANGE,0764,EXCEL HIGH,38,48,-10,DECLINING,40,48,-8,DECLINING,94,DECLINING,DECLINING,DECLINING,,,,,,,,,P,P,,,,NO,04,89,83,3,NO,
481561,48,ORANGE,1561,MAGNOLIA,55,40,15,IMPROVING,52,45,7,IMPROVING,98,IMPROVING,,,,,,F,,,,,,,,,,NO,04,71,92,3,YES,
481811,48,ORANGE,1811,ACCELERATION ACADEMY,45,66,-21,DECLINING,50,62,-12,DECLINING,99,DECLINING,DECLINING,DECLINING,DECLINING,,,,,,,,,,,,,NO,04,90,90,3,NO,
481841,48,ORANGE,1841,ACCELERATION ACADEMY WEST,47,55,-8,DECLINING,82,49,33,IMPROVING,99,DECLINING,,,,,,,,,,,,,,,,NO,04,88,97,3,NO,
499003,49,OSCEOLA,9003,ZENITH,39,47,-8,DECLINING,36,44,-8,DECLINING,95,DECLINING,,DECLINING,DECLINING,,,,,,,,,,,,,NO,04,86,82,3,NO,
499036,49,OSCEOLA,9036,NEW BEGINNINGS EDUCATION CENTER,,,,,,,,,83,I,,,,,,,,,,,P,P,F,,,NO,04,88,84,3,NO,
501801,50,PALM BEACH,1801,ROYAL PALM SCHOOL,45,34,11,IMPROVING,41,38,3,MAINTAINING,99,MAINTAINING,IMPROVING,,,,,,,,,,,,,,,NO,04,78,74,5,YES,
502411,50,PALM BEACH,2411,INDIAN RIDGE SCHOOL,52,70,-18,DECLINING,63,65,-2,MAINTAINING,97,DECLINING,IMPROVING,,,,,,,,,,,,,,,NO,04,57,77,5,YES,
502641,50,PALM BEACH,2641,LAKESIDE ACADEMY,78,34,44,IMPROVING,71,65,6,IMPROVING,100,IMPROVING,DECLINING,MAINTAINING,DECLINING,IMPROVING,DECLINING,,,,,,A,,,,F,YES,01,97,100,5,NO,
502791,50,PALM BEACH,2791,RENAISSANCE LEARNING CENTER,55,55,0,MAINTAINING,36,45,-9,DECLINING,100,DECLINING,DECLINING,,,,,,,,,,,,,,,YES,04,46,40,5,YES,
502941,50,PALM BEACH,2941,PALM BEACH SCHOOL FOR AUTISM,39,33,6,IMPROVING,44,40,4,MAINTAINING,97,MAINTAINING,DECLINING,,,,,,,,,,,,,,,YES,04,49,49,5,YES,
503083,50,PALM BEACH,3083,RENAISSANCE LEARNING ACADEMY,44,37,7,IMPROVING,45,25,20,IMPROVING,93,IMPROVING,DECLINING,,,,,,,,,,,,,,,YES,03,34,43,5,YES,
503391,50,PALM BEACH,3391,SEAGULL ACADEMY,45,27,18,IMPROVING,36,45,-9,DECLINING,90,DECLINING,,,,,,,,,,,,,,,,YES,04,74,86,5,YES,
510242,51,PASCO,0242,SCHWETTMAN EDUCATION CENTER,53,27,26,IMPROVING,42,31,11,IMPROVING,94,IMPROVING,,DECLINING,DECLINING,,,,,,,,,,,,,NO,04,22,83,4,NO,
517071,51,PASCO,7071,JAMES IRVIN EDUCATION CENTER,35,59,-24,DECLINING,36,36,0,MAINTAINING,100,DECLINING,DECLINING,DECLINING,DECLINING,,,,,,,,,P,,,,NO,04,41,74,4,NO,
520681,52,PINELLAS,0681,PAUL B. STEPHENS ESE CENTER,45,54,-9,DECLINING,41,51,-10,DECLINING,100,DECLINING,IMPROVING,,,,,,,,,,,,,,,NO,04,29,67,4,YES,
520981,52,PINELLAS,0981,HAMILTON DISSTON SCHOOL,49,33,16,IMPROVING,44,36,8,IMPROVING,95,IMPROVING,DECLINING,,,,,,,,,,,,,,,NO,04,75,97,4,YES,
521801,52,PINELLAS,1801,CALVIN A. HUNSINGER SCHOOL,51,33,18,IMPROVING,50,47,3,MAINTAINING,94,MAINTAINING,DECLINING,,,,,,,,,,,,,,,NO,04,58,90,4,YES,
522151,52,PINELLAS,2151,LEALMAN INTERMEDIATE,24,40,-16,DECLINING,36,36,0,MAINTAINING,99,DECLINING,DECLINING,MAINTAINING,DECLINING,MAINTAINING,DECLINING,,,,,,P,P,F,P,,NO,04,72,91,4,NO,
522441,52,PINELLAS,2441,CHI CHI RODRIQUEZ ACADEMY,66,59,7,IMPROVING,40,53,-13,DECLINING,99,DECLINING,MAINTAINING,IMPROVING,DECLINING,MAINTAINING,IMPROVING,,,,,,,,,,,NO,04,45,68,4,NO,
522581,52,PINELLAS,2581,NINA HARRIS ESE CENTER,40,59,-19,DECLINING,46,49,-3,MAINTAINING,100,DECLINING,IMPROVING,,,,,,,,,,,,,,,NO,04,44,76,4,YES,
523231,52,PINELLAS,3231,RICHARD L. SANDERS SCHOOL,,,,,,,,,72,I,,,,,,,,,,,,,,,,NO,04,58,90,4,YES,
523341,52,PINELLAS,3341,CLEARWATER INTERMEDIATE,41,39,2,MAINTAINING,53,44,9,IMPROVING,99,MAINTAINING,DECLINING,MAINTAINING,DECLINING,MAINTAINING,MAINTAINING,,,,,,P,P,D,P,,NO,04,67,91,4,NO,
527071,52,PINELLAS,7071,DROPOUT PREVENTION SCHOOL,,,,,,,,,72,I,,,,,DECLINING,,,,,,P,P,D,P,,NO,04,61,67,4,NO,
530092,53,POLK,0092,DORIS A. SANDERS LEARNING CENTER,38,59,-21,DECLINING,36,55,-19,DECLINING,98,DECLINING,IMPROVING,,,,,,,,,,,,,,,NO,04,56,81,4,YES,
530421,53,POLK,0421,DON E WOODS OPPORTUNITY CENTER,,,,,,,,,72,I,DECLINING,DECLINING,,,,,,,,,P,,,P,,NO,04,75,91,4,NO,
530482,53,POLK,0482,WINTER HAVEN STEP UP ACADEMY,30,48,-18,DECLINING,35,38,-3,MAINTAINING,94,DECLINING,,,,,,,,,,,,,,,,YES,03,69,86,4,NO,
530661,53,POLK,0661,KAREN M. SIEGEL ACADEMY,30,46,-16,DECLINING,36,45,-9,DECLINING,99,DECLINING,MAINTAINING,,,,,,,,,,,,,,,NO,04,62,74,4,YES,
530932,53,POLK,0932,COMPASS MIDDLE CHARTER SCHOOL,42,37,5,IMPROVING,38,43,-5,DECLINING,97,DECLINING,DECLINING,MAINTAINING,IMPROVING,IMPROVING,MAINTAINING,,,,,,P,P,D,F,N,YES,04,63,92,4,NO,
530962,53,POLK,0962,JEAN O'DELL LEARNING CENTER,43,26,17,IMPROVING,35,48,-13,DECLINING,100,DECLINING,MAINTAINING,,,,,,,,,,,,,,,NO,04,51,80,4,YES,
531071,53,POLK,1071,LAKE GIBSON STEP UP ACADEMY,45,45,0,MAINTAINING,51,39,12,IMPROVING,98,MAINTAINING,,,,,,,,,,,,,,,,YES,03,53,75,4,NO,
531171,53,POLK,1171,KATHLEEN STEP UP ACADEMY,,,,,,,,,78,I,,,,,,,,,,,,,,,,YES,03,61,78,4,NO,
531381,53,POLK,1381,ROOSEVELT ACADEMY,45,40,5,IMPROVING,49,41,8,IMPROVING,98,IMPROVING,DECLINING,,,,,,,,,,,,,F,,NO,04,49,82,4,YES,
531491,53,POLK,1491,GAUSE ACADEMY OF LEADERSHIP,,,,,,,,,87,I,DECLINING,MAINTAINING,MAINTAINING,DECLINING,MAINTAINING,,,,,,P,P,F,P,,NO,04,62,89,4,NO,
531911,53,POLK,1911,HAINES CITY STEP UP ACADEMY,41,39,2,MAINTAINING,40,59,-19,DECLINING,96,DECLINING,,,,,,,,,,,,,,,,YES,03,91,89,4,NO,
532001,53,POLK,2001,BILL DUNCAN OPPORTUNITY CENTER,,,,,,,,,81,I,,DECLINING,,,,,,,,,P,,,,,NO,04,70,87,4,NO,
538006,53,POLK,8006,OUR CHILDRENS MIDDLE ACADEMY,49,46,3,MAINTAINING,45,40,5,IMPROVING,99,MAINTAINING,,,,,,,,,,,,,,,,YES,02,34,74,4,YES,
538143,53,POLK,8143,OUR CHILDREN'S ACADEMY,29,57,-28,DECLINING,14,43,-29,DECLINING,94,DECLINING,,,,,,,,,,,,,,,,YES,01,49,81,4,YES,
539205,53,POLK,9205,RIDGE TEEN PARENT PROGRAM,,,,,,,,,59,I,,,,,,,,,,,,,,,,NO,04,76,76,4,NO,
539255,53,POLK,9255,ESE COUNTYWIDE,33,38,-5,DECLINING,55,36,19,IMPROVING,92,DECLINING,DECLINING,,,,,,,,,,,,,,,NO,04,60,91,4,YES,
540321,54,PUTNAM,0321,ELEANOR H. MILLER SCHOOL,,,,,,,,,88,I,DECLINING,,,,,,,,,,,,,,,NO,04,58,88,2,YES,
550032,55,ST. JOHNS,0032,GAINES ALTERNATIVE AT HAMBLEN,,,,,,,,,78,I,,,,MAINTAINING,,,,,,,,,,,,NO,04,38,70,2,NO,
