2011-2012 Alternative School Improvement Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District-School Number,District Number,District Name,School Number,School Name,% Making Reading Gains in 2012,% Making Reading Gains in 2011,Difference in Reading Gains between 2012 and 2011,"Improving, Maintaining, or Declining in Reading",% Making Math Gains in 2012,% Making Math Gains in 2011,Difference in Math Gains between 2012 and 2011,"Improving, Maintaining, or Declining in Math",Percent Tested,Final Improvement Rating,Improvement Rating 11,Improvement Rating 10,Improvement Rating 09,Improvement Rating 08,Grade 11,Grade 10,Grade 09,Grade 08,Grade 07,Grade 06,Grade 05,Grade 04,Grade 03,Charter,School Type,Minority Rate,Free or Reduced Lunch Rate,Region,ESE Center
061021,06,BROWARD,1021,THE QUEST CENTER,48,40,8,IMPROVING,46,36,10,IMPROVING,96,IMPROVING,,,,,,,,,,,,,,NO,04,75,71,5,YES
061752,06,BROWARD,1752,WHISPERING PINES SCHOOL,53,41,12,IMPROVING,46,62,-16,DECLINING,93,DECLINING,,,,,,,,,,,,,,NO,04,68,66,5,YES
063222,06,BROWARD,3222,CROSS CREEK SCHOOL,58,71,-13,DECLINING,34,53,-19,DECLINING,98,DECLINING,,,,,,,,,,,,,,NO,04,64,82,5,YES
080042,08,CHARLOTTE,0042,CHARLOTTE HARBOR SCHOOL,62,42,20,IMPROVING,51,33,18,IMPROVING,98,IMPROVING,,,,,,,,,,,,,,NO,04,44,71,4,YES
090201,09,CITRUS,0201,CREST SCHOOL,51,38,13,IMPROVING,60,40,20,IMPROVING,90,IMPROVING,,,,,,,,,,,,,,NO,04,16,70,4,YES
090321,09,CITRUS,0321,CITRUS COUNTY RENAISSANCE CENTER,,,,,,,,,80,I,,,,,,,,,P,P,,,,NO,04,12,86,4,NO
100111,10,CLAY,0111,R. C. BANNERMAN LEARNING CENTER,53,44,9,IMPROVING,21,63,-42,DECLINING,94,DECLINING,DECLINING,,,,,,,,,,,,,NO,04,36,76,2,NO
119007,11,COLLIER,9007,NEW BEGINNINGS IMMOKALEE,55,55,0,MAINTAINING,36,41,-5,DECLINING,100,DECLINING,DECLINING,IMPROVING,IMPROVING,,,,,,,,,,,NO,04,96,100,4,NO
119010,11,COLLIER,9010,NEW BEGINNINGS - NAPLES,47,40,7,IMPROVING,69,53,16,IMPROVING,100,IMPROVING,MAINTAINING,DECLINING,IMPROVING,MAINTAINING,,,,,P,P,C,P,,NO,04,69,84,4,NO
120221,12,COLUMBIA,0221,CHALLENGE LEARNING CENTER,,,,,,,,,77,I,,,DECLINING,DECLINING,,,,,,,,,,NO,04,62,91,2,NO
131070,13,DADE,1070,SOUTH FLORIDA AUTISM CHARTER SCHOOL INC,43,18,25,IMPROVING,51,20,31,IMPROVING,100,IMPROVING,,,,,,,,,,,,,,YES,04,80,21,5,YES
137065,13,DADE,7065,MAVERICKS HIGH OF SOUTH MIAMI DADE COUNTY,,,,,,,,,87,I,,,,,,I,,,,,,,,YES,03,91,78,5,NO
137631,13,DADE,7631,MIAMI MACARTHUR SOUTH,,,,,,,,,72,I,,,,,,,,,,P,F,,,NO,04,92,85,5,NO
137829,13,DADE,7829,LITTLE HAVANA INSTITUTE,39,28,11,IMPROVING,50,31,19,IMPROVING,93,IMPROVING,,,,DECLINING,,F,I,,,,,,,NO,03,98,98,5,NO
137835,13,DADE,7835,RICHMOND PERRINE OPTIMIST,,,,,,,,,79,I,,,,DECLINING,,,,,,,,,,NO,04,99,79,5,NO
137860,13,DADE,7860,SECONDARY STUDENT SUCCESS CENTER 801,38,35,3,MAINTAINING,26,52,-26,DECLINING,93,DECLINING,DECLINING,,,,,,,,,,,,,NO,04,98,83,5,NO
137861,13,DADE,7861,SECONDARY STUDENT SUCCESS CENTER 802,,,,,,,,,80,I,DECLINING,,,,,,,,,,,,,NO,04,100,94,5,NO
137862,13,DADE,7862,SECONDARY STUDENT SUCCESS CENTER 803,42,42,0,MAINTAINING,44,67,-23,DECLINING,92,DECLINING,,,,,,,,,,,,,,NO,04,97,76,5,NO
137863,13,DADE,7863,SECONDARY STUDENT SUCCESS CENTER-804,70,43,27,IMPROVING,48,43,5,IMPROVING,92,IMPROVING,,,,,,,,,,,,,,NO,04,100,87,5,NO
138019,13,DADE,8019,ACADEMY FOR COMMUNITY EDUCATION (ACE),61,24,37,IMPROVING,36,82,-46,DECLINING,99,DECLINING,DECLINING,,,,,,,,,P,F,P,,NO,03,98,76,5,NO
138101,13,DADE,8101,JAN MANN OPPORTUNITY SCHOOL,36,32,4,MAINTAINING,25,55,-30,DECLINING,92,DECLINING,DECLINING,,,,,,,,P,P,F,P,,NO,04,97,91,5,NO
138121,13,DADE,8121,COPE CENTER NORTH,,,,,,,,,82,I,DECLINING,,,,,F,,,,P,F,P,,NO,04,99,94,5,NO
160061,16,DUVAL,0061,MATTIE V RUTHERFORD ALT ED CENTER,,,,,,,,,84,I,,,,,,,,,,,,,,NO,02,79,90,2,NO
160112,16,DUVAL,0112,SCHOOL FOR THE FUTURE,22,52,-30,DECLINING,16,54,-38,DECLINING,93,DECLINING,,,,,,,,,,,,,,NO,04,85,89,2,NO
160541,16,DUVAL,0541,JAMES WELDON JOHNSON ACADEMIC AND CAREER TRAINING CENTER,41,32,9,IMPROVING,26,43,-17,DECLINING,98,DECLINING,,,,,,,,,,,,,,NO,02,86,93,2,NO
161641,16,DUVAL,1641,MT. HERMAN ESE CENTER,26,20,6,IMPROVING,23,30,-7,DECLINING,94,DECLINING,,,,,,,,,,,,,,NO,04,63,60,2,YES
161701,16,DUVAL,1701,PALM AVENUE EXCEP. STUDENT CENTER,54,43,11,IMPROVING,56,36,20,IMPROVING,98,IMPROVING,,,,,,,,,,,,,,NO,04,63,71,2,YES
162521,16,DUVAL,2521,ALDEN ROAD EXCEP. STUDENT CENTER,53,34,19,IMPROVING,53,45,8,IMPROVING,93,IMPROVING,,,,,,,,,,,,,,NO,04,52,51,2,YES
170211,17,ESCAMBIA,0211,CAMELOT ACADEMY OF ESCAMBIA COUNTY,48,42,6,IMPROVING,31,39,-8,DECLINING,100,DECLINING,DECLINING,,,,,,,,,D,D,P,,NO,04,76,94,1,NO
170922,17,ESCAMBIA,0922,ESCAMBIA WESTGATE CENTER,42,58,-16,DECLINING,40,53,-13,DECLINING,100,DECLINING,,,,,,,,,,,,,,NO,04,54,84,1,YES
172104,17,ESCAMBIA,2104,JACKIE HARRIS PREPARATORY ACADEMY,35,10,25,IMPROVING,80,5,75,IMPROVING,100,IMPROVING,DECLINING,,,,,C,A,B,C,P,C,C,N,YES,01,100,88,1,NO
180014,18,FLAGLER,0014,PATHWAYS ACADEMY,,,,,,,,,86,I,DECLINING,DECLINING,,,,,,,,,,,,NO,04,56,87,2,NO
200231,20,GADSDEN,0231,CARTER PARRAMORE ACADEMY,42,38,4,MAINTAINING,21,62,-41,DECLINING,90,DECLINING,MAINTAINING,,DECLINING,,,,,,P,P,,,C,NO,04,99,90,1,NO
290063,29,HILLSBOROUGH,0063,CARVER EXCEPTIONAL CENTER,,,,,,,,,87,I,,,,,,,,,,,,,,NO,04,87,89,4,YES
294321,29,HILLSBOROUGH,4321,DOROTHY THOMAS CENTER,38,29,9,IMPROVING,38,33,5,IMPROVING,93,IMPROVING,,,,,,,,,,,,,,NO,04,71,88,4,YES
296609,29,HILLSBOROUGH,6609,PEPIN ACADEMY OF TAMPA,63,51,12,IMPROVING,53,63,-10,DECLINING,97,DECLINING,,,,,,,,,,,,,,YES,03,41,17,4,YES
296628,29,HILLSBOROUGH,6628,PEPIN ELEMENTARY SCHOOL,41,50,-9,DECLINING,52,43,9,IMPROVING,100,DECLINING,,,,,,,,,,,,,,YES,01,50,40,4,YES
296631,29,HILLSBOROUGH,6631,PEPIN MIDDLE SCHOOL,48,56,-8,DECLINING,38,58,-20,DECLINING,100,DECLINING,,,,,,,,,,,,,,YES,02,50,39,4,YES
296639,29,HILLSBOROUGH,6639,FLORIDA AUTISM CHARTER SCHOOL OF EXCELLENCE,38,42,-4,MAINTAINING,43,52,-9,DECLINING,94,DECLINING,,,,,,,,,,,,,,YES,04,47,43,4,YES
300471,30,HOLMES,0471,GRADUATION ASSISTANCE PROGRAM,,,,,,,,,83,I,,,,,,,,,,,,,,NO,04,0,90,1,NO
320202,32,JACKSON,0202,HOPE SCHOOL,35,44,-9,DECLINING,45,45,0,MAINTAINING,100,DECLINING,,,,,,,,,,,,,,NO,04,35,88,1,YES
320212,32,JACKSON,0212,JACKSON ALTERNATIVE SCHOOL,41,45,-4,MAINTAINING,38,64,-26,DECLINING,92,DECLINING,,DECLINING,DECLINING,DECLINING,,,,,,,,,,NO,04,48,84,1,NO
350533,35,LAKE,0533,LAKE HILLS SCHOOL,42,34,8,IMPROVING,38,35,3,MAINTAINING,99,MAINTAINING,,,,,,,,,,,,,,NO,04,46,65,3,YES
360651,36,LEE,0651,ROYAL PALM EXCEPTIONAL SCHOOL CENTER,40,50,-10,DECLINING,29,43,-14,DECLINING,95,DECLINING,,,,,,,,,,,,,,NO,04,67,92,4,YES
360701,36,LEE,0701,BUCKINGHAM EXCEP. STUDENT CENTER,34,11,23,IMPROVING,30,23,7,IMPROVING,98,IMPROVING,,,,,,,,,,,,,,NO,04,66,83,4,YES
370411,37,LEON,0411,GRETCHEN EVERHART SCHOOL,41,28,13,IMPROVING,37,17,20,IMPROVING,99,IMPROVING,,,,,,,,,,,,,,NO,04,54,70,1,YES
370452,37,LEON,0452,PACE SECONDARY SCHOOL,,,,,,,,,88,I,,,,,,,,,,,,,,NO,04,70,87,1,YES
371211,37,LEON,1211,SUCCESS ACADEMY AT GHAZVINI LEARNING CENTER,57,46,11,IMPROVING,60,62,-2,MAINTAINING,99,MAINTAINING,DECLINING,,,,,,,,,,,,,NO,04,84,79,1,NO
380023,38,LEVY,0023,HILLTOP ALTERNATIVE SCHOOL,,,,,,,,,82,I,,,,IMPROVING,,,,,,,,,,NO,04,35,89,2,NO
410212,41,MANATEE,0212,CENTRAL HIGH SCHOOL,46,46,0,MAINTAINING,31,69,-38,DECLINING,96,DECLINING,DECLINING,,DECLINING,MAINTAINING,,,,,P,F,F,,,NO,04,72,88,4,NO
410731,41,MANATEE,0731,HORIZONS ACADEMY,,,,,,,,,73,I,,DECLINING,,,,,,,P,,,,,NO,04,61,73,4,NO
412007,41,MANATEE,2007,JUST FOR GIRLS,72,42,30,IMPROVING,36,56,-20,DECLINING,100,DECLINING,DECLINING,DECLINING,DECLINING,MAINTAINING,,,,,,,,,,NO,02,77,90,4,NO
420471,42,MARION,0471,HILLCREST,39,48,-9,DECLINING,48,38,10,IMPROVING,100,DECLINING,,,,,,,,,,,,,,NO,04,43,66,2,YES
429618,42,MARION,9618,SILVER RIVER MENTORING AND INSTRUCTION,,,,,,,,,85,I,,,,,,,,,,,,,,NO,04,54,86,2,NO
429731,42,MARION,9731,KINGSBURY ACADEMY,42,52,-10,DECLINING,46,54,-8,DECLINING,96,DECLINING,,DECLINING,DECLINING,,,,,,,,,,,NO,04,61,90,2,NO
460241,46,OKALOOSA,0241,SILVER SANDS-EXCEP. CHILDREN,44,28,16,IMPROVING,47,41,6,IMPROVING,97,IMPROVING,,,,,,,,,,,,,,NO,04,36,60,1,YES
460701,46,OKALOOSA,0701,CHOICE HIGH SCHOOL AND TECHNICAL CENTER,,,,,,,,,81,I,DECLINING,,,,,,,,,,,,,NO,04,33,53,1,NO
460791,46,OKALOOSA,0791,EMERALD COAST CAREER INSTITUTE N,46,58,-12,DECLINING,29,57,-28,DECLINING,98,DECLINING,,DECLINING,,,F,,,,,,,,,NO,04,24,67,1,NO
460801,46,OKALOOSA,0801,RICHBOURG SCHOOL,80,27,53,IMPROVING,86,21,65,IMPROVING,94,IMPROVING,,,,,,,,,,,,,,NO,04,18,55,1,YES
469800,46,OKALOOSA,9800,OKALOOSA ACADEMY,,,,,,,,,80,I,DECLINING,DECLINING,,DECLINING,,,,,P,P,F,,,YES,04,52,73,1,NO
470113,47,OKEECHOBEE,0113,OKEECHOBEE ACHIEVEMENT ACADEMY,,,,,,,,,74,I,,DECLINING,DECLINING,,,,,,,,F,,,NO,04,44,79,4,NO
480043,48,ORANGE,0043,UNIVERSITY BEHAVIORAL CENTER,58,42,16,IMPROVING,37,44,-7,DECLINING,97,DECLINING,IMPROVING,,MAINTAINING,MAINTAINING,,,,,,,,,,NO,04,48,17,3,NO
480055,48,ORANGE,0055,PRINCETON HOUSE CHARTER,50,63,-13,DECLINING,59,53,6,IMPROVING,100,DECLINING,,,,,,,,,,,,,,YES,01,55,29,3,YES
480177,48,ORANGE,0177,ACCESS CHARTER,49,58,-9,DECLINING,43,40,3,MAINTAINING,100,DECLINING,,,,,,,,,,,,,,YES,04,35,22,3,YES
480764,48,ORANGE,0764,EXCEL HIGH,44,54,-10,DECLINING,23,56,-33,DECLINING,91,DECLINING,DECLINING,,,,,,,,P,P,,,,NO,04,88,84,3,NO
481811,48,ORANGE,1811,ACCELERATION ACADEMY,42,44,-2,MAINTAINING,46,80,-34,DECLINING,97,DECLINING,DECLINING,DECLINING,,,,,,,,,,,,NO,04,90,93,3,NO
499036,49,OSCEOLA,9036,NEW BEGINNINGS EDUCATION COMPLEX,,,,,,,,,87,I,,,,,,,,,P,P,F,,,NO,04,86,85,3,NO
500842,50,PALM BEACH,0842,TURNING POINTS ACADEMY,48,39,9,IMPROVING,38,42,-4,MAINTAINING,97,MAINTAINING,DECLINING,DECLINING,DECLINING,,,,,I,,,,,,NO,04,90,94,5,NO
501641,50,PALM BEACH,1641,GOLD COAST COMMUNITY SCHOOL,45,45,0,MAINTAINING,44,51,-7,DECLINING,95,DECLINING,DECLINING,DECLINING,MAINTAINING,,,,,F,P,P,F,P,,NO,04,91,92,5,NO
501801,50,PALM BEACH,1801,ROYAL PALM SCHOOL,29,24,5,IMPROVING,36,23,13,IMPROVING,100,IMPROVING,,,,,,,,,,,,,,NO,04,76,71,5,YES
502411,50,PALM BEACH,2411,INDIAN RIDGE SCHOOL,81,51,30,IMPROVING,74,56,18,IMPROVING,98,IMPROVING,,,,,,,,,,,,,,NO,04,56,76,5,YES
502641,50,PALM BEACH,2641,LAKESIDE ACADEMY,34,55,-21,DECLINING,69,31,38,IMPROVING,100,DECLINING,MAINTAINING,DECLINING,IMPROVING,DECLINING,,,,,A,,,,F,YES,01,95,99,5,NO
502791,50,PALM BEACH,2791,RENAISSANCE LEARNING CENTER,50,46,4,MAINTAINING,38,54,-16,DECLINING,100,DECLINING,,,,,,,,,,,,,,YES,04,43,16,5,YES
502941,50,PALM BEACH,2941,PALM BEACH SCHOOL FOR AUTISM,26,61,-35,DECLINING,26,71,-45,DECLINING,100,DECLINING,,,,,,,,,,,,,,YES,04,54,44,5,YES
503046,50,PALM BEACH,3046,SOUTH AREA SECONDARY INTENSIVE TRANSITION PROGRAM,,,,,,,,,87,I,MAINTAINING,IMPROVING,DECLINING,,,,,F,P,,,,,NO,04,84,93,5,NO
503083,50,PALM BEACH,3083,RENAISSANCE LEARNING ACADEMY,46,50,-4,MAINTAINING,45,60,-15,DECLINING,97,DECLINING,,,,,,,,,,,,,,YES,03,34,23,5,YES
503101,50,PALM BEACH,3101,CROSSROADS ACADEMY,49,29,20,IMPROVING,47,45,2,MAINTAINING,92,MAINTAINING,DECLINING,DECLINING,DECLINING,,,,,F,P,P,,,,NO,04,98,87,5,NO
510242,51,PASCO,0242,SCHWETTMAN EDUCATION CENTER,,,,,,,,,89,I,DECLINING,DECLINING,,,,,,,,,,,,NO,04,29,88,4,NO
517071,51,PASCO,7071,JAMES IRVIN EDUCATION CENTER,57,57,0,MAINTAINING,34,68,-34,DECLINING,95,DECLINING,DECLINING,DECLINING,,,,,,,,P,,,,NO,04,52,85,4,NO
520681,52,PINELLAS,0681,PAUL B. STEPHENS ESE CENTER,53,27,26,IMPROVING,48,43,5,IMPROVING,99,IMPROVING,,,,,,,,,,,,,,NO,04,27,70,4,YES
520981,52,PINELLAS,0981,HAMILTON DISSTON SCHOOL,38,62,-24,DECLINING,39,42,-3,MAINTAINING,93,DECLINING,,,,,,,,,,,,,,NO,04,79,93,4,YES
521801,52,PINELLAS,1801,CALVIN A. HUNSINGER SCHOOL,34,41,-7,DECLINING,52,43,9,IMPROVING,95,DECLINING,,,,,,,,,,,,,,NO,04,53,87,4,YES
522151,52,PINELLAS,2151,LEALMAN INTERMEDIATE,32,41,-9,DECLINING,40,40,0,MAINTAINING,99,DECLINING,MAINTAINING,DECLINING,MAINTAINING,DECLINING,,,,,P,P,F,P,,NO,04,68,88,4,NO
522441,52,PINELLAS,2441,CHI CHI RODRIQUEZ ACADEMY,57,49,8,IMPROVING,57,61,-4,MAINTAINING,98,MAINTAINING,IMPROVING,DECLINING,MAINTAINING,IMPROVING,,,,,,,,,,NO,04,43,59,4,NO
522581,52,PINELLAS,2581,NINA HARRIS ESE CENTER,49,29,20,IMPROVING,59,27,32,IMPROVING,99,IMPROVING,,,,,,,,,,,,,,NO,04,40,75,4,YES
523231,52,PINELLAS,3231,RICHARD L. SANDERS SCHOOL,,,,,,,,,84,I,,,,,,,,,,,,,,NO,04,56,95,4,YES
523341,52,PINELLAS,3341,CLEARWATER INTERMEDIATE,39,41,-2,MAINTAINING,39,45,-6,DECLINING,99,DECLINING,MAINTAINING,DECLINING,MAINTAINING,MAINTAINING,,,,,P,P,D,P,,NO,04,64,87,4,NO
527071,52,PINELLAS,7071,DROPOUT PREVENTION SCHOOL,,,,,,,,,62,I,,,,DECLINING,,,,,P,P,D,P,,NO,04,59,68,4,NO
530092,53,POLK,0092,DORIS A. SANDERS LEARNING CENTER,63,40,23,IMPROVING,57,23,34,IMPROVING,100,IMPROVING,,,,,,,,,,,,,,NO,04,62,86,4,YES
530421,53,POLK,0421,DON E WOODS OPPORTUNITY CENTER,35,42,-7,DECLINING,20,36,-16,DECLINING,91,DECLINING,DECLINING,,,,,,,,P,,,P,,NO,04,89,96,4,NO
530661,53,POLK,0661,KAREN M. SIEGEL ACADEMY,36,33,3,MAINTAINING,31,27,4,MAINTAINING,99,MAINTAINING,,,,,,,,,,,,,,NO,04,58,73,4,YES
530932,53,POLK,0932,COMPASS MIDDLE CHARTER SCHOOL,38,49,-11,DECLINING,46,43,3,MAINTAINING,97,DECLINING,MAINTAINING,IMPROVING,IMPROVING,MAINTAINING,,,,,P,P,D,F,N,YES,04,62,89,4,NO
530962,53,POLK,0962,JEAN O'DELL LEARNING CENTER,33,33,0,MAINTAINING,52,24,28,IMPROVING,97,MAINTAINING,,,,,,,,,,,,,,NO,04,54,78,4,YES
531381,53,POLK,1381,ROOSEVELT ACADEMY,43,48,-5,DECLINING,31,54,-23,DECLINING,98,DECLINING,,,,,,,,,,,,F,,NO,04,46,82,4,YES
531491,53,POLK,1491,GAUSE ACADEMY OF LEADERSHIP,30,46,-16,DECLINING,28,55,-27,DECLINING,97,DECLINING,MAINTAINING,MAINTAINING,DECLINING,MAINTAINING,,,,,P,P,F,P,,NO,04,62,89,4,NO
532001,53,POLK,2001,BILL DUNCAN OPPORTUNITY CENTER,,,,,,,,,84,I,DECLINING,,,,,,,,P,,,,,NO,04,73,92,4,NO
539203,53,POLK,9203,B.E.S.T.,10,60,-50,DECLINING,20,60,-40,DECLINING,100,DECLINING,,DECLINING,,,,,,,,,,,,NO,01,64,97,4,NO
539233,53,POLK,9233,SHERIFF'S YOUTH VILLA,63,50,13,IMPROVING,50,79,-29,DECLINING,100,DECLINING,IMPROVING,DECLINING,DECLINING,,,,,,,,,,,NO,04,33,86,4,NO
539255,53,POLK,9255,ESE COUNTYWIDE,55,45,10,IMPROVING,27,50,-23,DECLINING,96,DECLINING,,,,,,,,,,,,,,NO,04,56,88,4,YES
540321,54,PUTNAM,0321,ELEANOR H. MILLER SCHOOL,37,63,-26,DECLINING,14,68,-54,DECLINING,94,DECLINING,,,,,,,,,,,,,,NO,04,57,86,2,YES
550033,55,ST. JOHNS,0033,ST. JOHNS TECHNICAL HIGH SCHOOL,53,56,-3,MAINTAINING,56,64,-8,DECLINING,95,DECLINING,MAINTAINING,,,DECLINING,,F,F,,P,P,D,,,NO,04,25,63,2,NO
560205,56,ST. LUCIE,0205,DALE CASSENS EDUCATION COMPLEX,24,55,-31,DECLINING,29,65,-36,DECLINING,91,DECLINING,DECLINING,DECLINING,,,,,,,,,,,,NO,04,73,83,3,NO
560206,56,ST. LUCIE,0206,DELAWARE AVENUE SCHOOL,,,,,,,,,82,I,,DECLINING,DECLINING,,,,,,,,,,,NO,04,91,91,3,NO
578001,57,SANTA ROSA,8001,LEARNING ACADEMY OF SANTA ROSA,,,,,,,,,71,I,,,,,,,,,,,,,,YES,04,25,52,1,NO
581281,58,SARASOTA,1281,PHOENIX ACADEMY,65,56,9,IMPROVING,68,84,-16,DECLINING,100,DECLINING,MAINTAINING,,,,,D,C,C,C,C,F,,,NO,04,58,81,4,NO
590281,59,SEMINOLE,0281,HOPPER CENTER,57,35,22,IMPROVING,55,32,23,IMPROVING,91,IMPROVING,,,,,,,,,,,,,,NO,04,52,92,2,YES
590311,59,SEMINOLE,0311,ENDEAVOR SCHOOL,60,45,15,IMPROVING,53,67,-14,DECLINING,92,DECLINING,,,,,,,,,,,,,,NO,04,48,82,2,YES
590571,59,SEMINOLE,0571,JOURNEYS ACADEMY,28,61,-33,DECLINING,19,69,-50,DECLINING,98,DECLINING,DECLINING,,,,,,,,,,,,,NO,04,68,82,2,NO
619003,61,SUWANNEE,9003,FLORIDA SHERIFF'S BOYS RANCH,67,45,22,IMPROVING,57,48,9,IMPROVING,94,IMPROVING,,,,,,,,,,,,,,NO,04,18,24,2,NO
647891,64,VOLUSIA,7891,RICHARD MILBURN ACADEMY,,,,,,,,,65,I,,DECLINING,,,,,,,,,,,,YES,03,53,63,2,NO
661111,66,WALTON,1111,"WALTON ACADEMY, INC.",,,,,,,,,88,I,,DECLINING,DECLINING,IMPROVING,,,,,P,P,F,P,,YES,04,24,84,1,NO
670152,67,WASHINGTON,0152,WASHINGTON INSTITUTE FOR SPECIALIZED EDUCATION,,,,,,,,,69,I,,DECLINING,,,,,,,,,,,,NO,04,31,84,1,NO
680011,68,DEAF/BLIND,0011,DEAF ELEMENTARY SCHOOL (FSDB),41,29,12,IMPROVING,18,47,-29,DECLINING,98,DECLINING,,,,,,,,,,,,,,NO,01,51,77,,YES
680012,68,DEAF/BLIND,0012,DEAF MIDDLE SCHOOL (FSDB),47,46,1,MAINTAINING,52,59,-7,DECLINING,99,DECLINING,,,,,,,,,,,,,,NO,02,56,87,,YES
680013,68,DEAF/BLIND,0013,DEAF HIGH SCHOOL (FSDB),50,32,18,IMPROVING,71,100,-29,DECLINING,95,DECLINING,,,,,,,,,,,,,,NO,03,54,85,,YES
680015,68,DEAF/BLIND,0015,BLIND MIDDLE SCHOOL (FSDB),63,77,-14,DECLINING,54,60,-6,DECLINING,100,DECLINING,,,,,,,,,,,,,,NO,02,46,83,,YES
