2008-2009 Alternative School Improvement Rating,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
District-School Number,District Number,District Name,School Number,School Name,% Making Reading Gains in 2009,% Making Reading Gains in 2008,Difference in Reading Gains between 2009 and 2008,"Improving, Maintaining, or Declining in Reading",% Making Math Gains in 2009,% Making Math Gains in 2008,Difference in Math Gains between 2009 and 2008,"Improving, Maintaining, or Declining in Math",Percent Tested,Final Improvement Rating,Improvement Rating 08,Grade 08,Grade 07,Grade 06,Grade 05,Grade 04,Grade 03,Charter,School Type,Minority Rate,Free or Reduced Lunch Rate,Region
412107,41,MANATEE,2107,RICHARD MILBURN ACADEMY,,,,,,,,,47,I,,,,P,,,,YES,03,76,39,4
429731,42,MARION,9731,KINGSBURY ACADEMY,49,57,-8,DECLINING,61,57,4,MAINTAINING,97,DECLINING,I,,,,,,,NO,04,59,88,2
469800,46,OKALOOSA,9800,OKALOOSA ACADEMY,,,,,,,,,78,I,DECLINING,,P,P,F,,,YES,04,41,66,1
470113,47,OKEECHOBEE,0113,NEW ENDEAVOR HIGH SCHOOL,43,52,-9,DECLINING,54,52,2,MAINTAINING,94,DECLINING,I,,,,F,,,NO,04,47,68,4
480032,48,ORANGE,0032,ESTEEM ACADEMY,55,73,-18,DECLINING,80,60,20,IMPROVING,100,DECLINING,,,,,,,,NO,04,29,15,3
480042,48,ORANGE,0042,BETA,42,52,-10,DECLINING,50,81,-31,DECLINING,100,DECLINING,DECLINING,,,,,,,NO,04,92,45,3
480043,48,ORANGE,0043,UNIVERSITY BEHAVIORAL,42,38,4,MAINTAINING,50,50,0,MAINTAINING,99,MAINTAINING,MAINTAINING,,,,,,,NO,04,46,15,3
500842,50,PALM BEACH,0842,TURNING POINTS ACADEMY,43,52,-9,DECLINING,66,43,23,IMPROVING,94,DECLINING,,I,,,,,,NO,04,89,79,5
501641,50,PALM BEACH,1641,GOLD COAST COMMUNITY SCHOOL,48,44,4,MAINTAINING,62,62,0,MAINTAINING,100,MAINTAINING,,F,P,P,F,P,,NO,04,84,82,5
502641,50,PALM BEACH,2641,LAKESIDE ACADEMY,69,42,27,IMPROVING,46,35,11,IMPROVING,99,IMPROVING,DECLINING,,A,,,,F,YES,04,98,99,5
503002,50,PALM BEACH,3002,PALM BEACH COUNTY JAIL,48,52,-4,MAINTAINING,78,57,21,IMPROVING,98,MAINTAINING,,,,,,,,NO,04,94,50,5
503024,50,PALM BEACH,3024,HIGHRIDGE FAMILY CENTER,70,55,15,IMPROVING,32,68,-36,DECLINING,100,DECLINING,,,,,,,,NO,04,73,58,5
503026,50,PALM BEACH,3026,EAGLE YOUTH ACADEMY,57,52,5,IMPROVING,78,73,5,IMPROVING,99,IMPROVING,,,,,,,,NO,04,46,42,5
503046,50,PALM BEACH,3046,SOUTH AREA SECONDARY INTENSIVE TRANSITION PROGRAM,42,54,-12,DECLINING,70,53,17,IMPROVING,99,DECLINING,,F,P,,,,,NO,04,84,76,5
503101,50,PALM BEACH,3101,LAKE SHORE ANNEX,24,23,1,MAINTAINING,42,48,-6,DECLINING,99,DECLINING,,F,P,P,,,,NO,04,99,89,5
503344,50,PALM BEACH,3344,DELRAY YOUTH VOCATIONAL CHARTER SCHOOL,13,18,-5,DECLINING,32,32,0,MAINTAINING,96,DECLINING,DECLINING,,,,,,,YES,03,84,94,5
503349,50,PALM BEACH,3349,LIFE SKILL CENTER OF PALM BEACH COUNTY,15,31,-16,DECLINING,31,51,-20,DECLINING,95,DECLINING,DECLINING,,,,,,,YES,03,79,33,5
503355,50,PALM BEACH,3355,ROOSEVELT FULL SERVICE CENTER,17,31,-14,DECLINING,41,45,-4,MAINTAINING,94,DECLINING,,,,,,,,NO,03,95,57,5
522151,52,PINELLAS,2151,LEALMAN INTERMEDIATE,51,45,6,IMPROVING,51,51,0,MAINTAINING,100,MAINTAINING,DECLINING,,P,P,F,P,,NO,04,54,78,4
522441,52,PINELLAS,2441,CHI CHI RODRIQUEZ ACADEMY,63,58,5,IMPROVING,66,62,4,MAINTAINING,100,MAINTAINING,IMPROVING,,,,,,,NO,01,34,48,4
522821,52,PINELLAS,2821,PINELLAS SECONDARY SCHOOL,38,38,0,MAINTAINING,50,50,0,MAINTAINING,90,MAINTAINING,,,,,,,,NO,04,49,64,4
523341,52,PINELLAS,3341,CLEARWATER INTERMEDIATE,48,50,-2,MAINTAINING,50,51,-1,MAINTAINING,99,MAINTAINING,MAINTAINING,,P,P,D,P,,NO,04,49,74,4
527721,52,PINELLAS,7721,LIFE SKILLS CENTER OF PINELLAS COUNTY,,,,,,,,,69,I,I,,,,,,,YES,03,59,44,4
527731,52,PINELLAS,7731,LIFE SKILLS CENTER NORTH,,,,,,,,,64,I,,,,,,,,YES,03,53,35,4
530932,53,POLK,0932,COMPASS MIDDLE CHARTER SCHOOL,56,43,13,IMPROVING,53,40,13,IMPROVING,99,IMPROVING,MAINTAINING,,P,P,D,F,N,YES,02,60,86,4
531491,53,POLK,1491,GAUSE ACADEMY OF LEADERSHIP,32,39,-7,DECLINING,48,50,-2,MAINTAINING,97,DECLINING,MAINTAINING,,P,P,F,P,,NO,04,52,75,4
538051,53,POLK,8051,FOUNDATION SCHOOL,28,48,-20,DECLINING,25,53,-28,DECLINING,95,DECLINING,I,,P,P,F,P,,YES,04,77,94,4
538144,53,POLK,8144,LIFE SKILLS CENTER,,,,,,,,,74,I,,,P,,,,,YES,03,54,46,4
538146,53,POLK,8146,LIFE SKILLS CENTER POLK COUNTY EAST,,,,,,,,,78,I,,,,,,,,YES,03,66,40,4
539231,53,POLK,9231,LAKE ALFRED B.E.S.T PROGRAM,10,50,-40,DECLINING,30,50,-20,DECLINING,100,DECLINING,,,,,,,,NO,01,68,98,4
539233,53,POLK,9233,SHERIFF'S YOUTH VILLA,58,50,8,IMPROVING,42,67,-25,DECLINING,100,DECLINING,,,,,,,,NO,04,32,100,4
550032,55,ST. JOHNS,0032,GAINES ALTERNATIVE AT HAMBLEM,42,42,0,MAINTAINING,65,47,18,IMPROVING,97,MAINTAINING,,,,,,,,NO,04,37,68,2
560206,56,ST. LUCIE,0206,INDIAN HILLS,13,69,-56,DECLINING,38,63,-25,DECLINING,98,DECLINING,,,,,,,,NO,04,89,76,3
580053,58,SARASOTA,0053,INFINITY MIDDLE SCHOOL/SARASOTA,52,48,4,MAINTAINING,56,59,-3,MAINTAINING,91,MAINTAINING,DECLINING,,,,,,,NO,02,74,74,4
580294,58,SARASOTA,0294,TRIAD,53,40,13,IMPROVING,85,77,8,IMPROVING,100,IMPROVING,I,,,,,,,NO,04,47,63,4
599217,59,SEMINOLE,9217,SCPS SEMINOLE ALTERNATIVES,46,55,-9,DECLINING,55,72,-17,DECLINING,90,DECLINING,,,,P,,,,NO,04,63,59,3
599222,59,SEMINOLE,9222,RAYS OF HOPE CHARTER SCHOOL,69,52,17,IMPROVING,59,56,3,MAINTAINING,100,MAINTAINING,IMPROVING,,P,P,F,P,,YES,02,67,74,3
661111,66,WALTON,1111,"WALTON ACADEMY, INC.",45,32,13,IMPROVING,43,64,-21,DECLINING,97,DECLINING,IMPROVING,,P,P,F,P,,YES,04,20,89,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
