2010-2011 Alternative School Improvement Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District-School Number,District Number,District Name,School Number,School Name,% Making Reading Gains in 2011,% Making Reading Gains in 2010,Difference in Reading Gains between 2011 and 2010,"Improving, Maintaining, or Declining in Reading",% Making Math Gains in 2011,% Making Math Gains in 2010,Difference in Math Gains between 2011 and 2010,"Improving, Maintaining, or Declining in Math",Percent Tested,Final Improvement Rating,Improvement Rating 10,Improvement Rating 09,Improvement Rating 08,Grade 10,Grade 09,Grade 08,Grade 07,Grade 06,Grade 05,Grade 04,Grade 03,Charter,School Type,Minority Rate,Free or Reduced Lunch Rate,Region
200231,20,GADSDEN,0231,CARTER PARRAMORE ACADEMY,37,36,1,MAINTAINING,60,30,30,IMPROVING,90,MAINTAINING,,DECLINING,,,,,P,P,,,C,NO,04,99,87,1
360152,36,LEE,0152,LEE ADOLESCENT MOTHER'S PROG.,10,48,-38,DECLINING,50,50,0,MAINTAINING,100,DECLINING,,,,,,,,,,,,NO,04,87,99,4
371211,37,LEON,1211,100 SUCCESS ACADEMY,22,63,-41,DECLINING,51,58,-7,DECLINING,99,DECLINING,,,,,,,,,,,,NO,02,77,92,1
410212,41,MANATEE,0212,CENTRAL HIGH SCHOOL,23,42,-19,DECLINING,48,55,-7,DECLINING,93,DECLINING,,DECLINING,MAINTAINING,,,,P,F,F,,,NO,03,63,75,4
412007,41,MANATEE,2007,JUST FOR GIRLS,33,38,-5,DECLINING,56,31,25,IMPROVING,100,DECLINING,DECLINING,DECLINING,MAINTAINING,,,,,,,,,NO,02,80,98,4
412107,41,MANATEE,2107,RICHARD MILBURN ACADEMY,,,,,,,,,55,I,,,,,,,,P,,,,YES,03,77,67,4
460701,46,OKALOOSA,0701,CHOICE HIGH SCHOOL AND TECHNICAL CENTER,36,48,-12,DECLINING,56,61,-5,DECLINING,92,DECLINING,,,,,,,,,,,,NO,04,31,43,1
460781,46,OKALOOSA,0781,EMERALD COAST CAREER INSTITUTE S,11,71,-60,DECLINING,25,54,-29,DECLINING,100,DECLINING,,,,F,,,,,,,,NO,04,41,88,1
469800,46,OKALOOSA,9800,OKALOOSA ACADEMY,24,49,-25,DECLINING,44,49,-5,DECLINING,94,DECLINING,DECLINING,,DECLINING,,,,P,P,F,,,YES,04,47,72,1
480032,48,ORANGE,0032,ESTEEM ACADEMY,85,50,35,IMPROVING,75,33,42,IMPROVING,100,IMPROVING,,DECLINING,,,,,,,,,,NO,04,33,13,3
480042,48,ORANGE,0042,BETA,33,42,-9,DECLINING,53,65,-12,DECLINING,95,DECLINING,MAINTAINING,DECLINING,DECLINING,,,,,,,,,NO,04,94,48,3
480043,48,ORANGE,0043,UNIVERSITY BEHAVIORAL CENTER,59,47,12,IMPROVING,54,39,15,IMPROVING,100,IMPROVING,,MAINTAINING,MAINTAINING,,,,,,,,,NO,04,47,12,3
480764,48,ORANGE,0764,EXCEL HIGH,39,49,-10,DECLINING,58,60,-2,MAINTAINING,96,DECLINING,,,,,,,P,P,,,,NO,04,87,85,3
481811,48,ORANGE,1811,ACCELERATION ACADEMY,21,50,-29,DECLINING,52,71,-19,DECLINING,98,DECLINING,DECLINING,,,,,,,,,,,NO,03,86,87,3
490959,49,OSCEOLA,0959,MAVERICKS HIGH SCHOOL,,,,,,,,,84,I,,,,I,,,,,,,,YES,03,83,10,3
499003,49,OSCEOLA,9003,ZENITH MIDDLE SCHOOL RECOVERY PROGRAM,25,54,-29,DECLINING,58,63,-5,DECLINING,95,DECLINING,DECLINING,,,,,,,,,,,NO,04,84,80,3
500842,50,PALM BEACH,0842,TURNING POINTS ACADEMY,41,46,-5,DECLINING,55,43,12,IMPROVING,94,DECLINING,DECLINING,DECLINING,,,,I,,,,,,NO,04,91,90,5
501641,50,PALM BEACH,1641,GOLD COAST COMMUNITY SCHOOL,50,43,7,IMPROVING,52,59,-7,DECLINING,99,DECLINING,DECLINING,MAINTAINING,,,,F,P,P,F,P,,NO,04,94,88,5
502641,50,PALM BEACH,2641,LAKESIDE ACADEMY,54,54,0,MAINTAINING,46,42,4,MAINTAINING,100,MAINTAINING,DECLINING,IMPROVING,DECLINING,,,,A,,,,F,YES,01,94,100,5
503002,50,PALM BEACH,3002,PALM BEACH COUNTY JAIL,44,22,22,IMPROVING,64,29,35,IMPROVING,92,IMPROVING,DECLINING,MAINTAINING,,,,,,,,,,NO,04,88,53,5
503024,50,PALM BEACH,3024,HIGHRIDGE FAMILY CENTER,44,56,-12,DECLINING,53,33,20,IMPROVING,100,DECLINING,MAINTAINING,DECLINING,,,,,,,,,,NO,04,72,76,5
503046,50,PALM BEACH,3046,SOUTH AREA SECONDARY INTENSIVE TRANSITION PROGRAM,42,40,2,MAINTAINING,60,36,24,IMPROVING,92,MAINTAINING,IMPROVING,DECLINING,,,,F,P,,,,,NO,04,85,85,5
503101,50,PALM BEACH,3101,CROSSROADS ACADEMY,19,46,-27,DECLINING,35,56,-21,DECLINING,99,DECLINING,DECLINING,DECLINING,,,,F,P,P,,,,NO,04,99,89,5
503349,50,PALM BEACH,3349,LIFE SKILL CENTER OF PALM BEACH,,,,,,,,,79,I,,DECLINING,DECLINING,,,,,,,,,YES,03,83,47,5
503355,50,PALM BEACH,3355,ROOSEVELT FULL SERVICE CENTER,16,32,-16,DECLINING,50,42,8,IMPROVING,100,DECLINING,DECLINING,DECLINING,,,,,,,,,,NO,03,97,72,5
510242,51,PASCO,0242,SCHWETTMAN EDUCATION CENTER,23,38,-15,DECLINING,40,55,-15,DECLINING,96,DECLINING,DECLINING,,,,,,,,,,,NO,04,30,82,4
517071,51,PASCO,7071,JAMES IRVIN EDUCATION CENTER,46,25,21,IMPROVING,31,63,-32,DECLINING,99,DECLINING,DECLINING,,,,,,,P,,,,NO,04,53,82,4
522151,52,PINELLAS,2151,LEALMAN INTERMEDIATE,36,40,-4,MAINTAINING,42,46,-4,MAINTAINING,100,MAINTAINING,DECLINING,MAINTAINING,DECLINING,,,,P,P,F,P,,NO,04,61,87,4
522441,52,PINELLAS,2441,CHI CHI RODRIQUEZ ACADEMY,62,47,15,IMPROVING,72,55,17,IMPROVING,99,IMPROVING,DECLINING,MAINTAINING,IMPROVING,,,,,,,,,NO,01,35,57,4
523341,52,PINELLAS,3341,CLEARWATER INTERMEDIATE,44,47,-3,MAINTAINING,52,45,7,IMPROVING,97,MAINTAINING,DECLINING,MAINTAINING,MAINTAINING,,,,P,P,D,P,,NO,04,62,83,4
527241,52,PINELLAS,7241,MAVERICKS IN EDUCATION,,,,,,,,,69,I,,,,,,,,,,,,YES,03,32,52,4
530421,53,POLK,0421,DON E WOODS OPPORTUNITY CENTER,34,39,-5,DECLINING,51,38,13,IMPROVING,91,DECLINING,,,,,,,P,,,P,,NO,04,79,90,4
530932,53,POLK,0932,COMPASS MIDDLE CHARTER SCHOOL,53,51,2,MAINTAINING,40,42,-2,MAINTAINING,99,MAINTAINING,IMPROVING,IMPROVING,MAINTAINING,,,,P,P,D,F,N,YES,04,57,85,4
531491,53,POLK,1491,GAUSE ACADEMY OF LEADERSHIP,46,43,3,MAINTAINING,50,29,21,IMPROVING,99,MAINTAINING,MAINTAINING,DECLINING,MAINTAINING,,,,P,P,F,P,,NO,04,58,82,4
532001,53,POLK,2001,BILL DUNCAN OPPORTUNITY CENTER,35,44,-9,DECLINING,38,48,-10,DECLINING,91,DECLINING,,,,,,,P,,,,,NO,04,66,91,4
538146,53,POLK,8146,LIFE SKILLS CENTER POLK COUNTY EAST,,,,,,,,,67,I,,,,,,,,,,,,YES,03,72,62,4
539231,53,POLK,9231,LAKE ALFRED B.E.S.T PROGRAM,38,56,-18,DECLINING,25,69,-44,DECLINING,96,DECLINING,DECLINING,DECLINING,,,,,,,,,,NO,01,64,90,4
539233,53,POLK,9233,SHERIFF'S YOUTH VILLA,44,38,6,IMPROVING,73,33,40,IMPROVING,100,IMPROVING,DECLINING,DECLINING,,,,,,,,,,NO,04,47,100,4
550033,55,ST. JOHNS,0033,ST. JOHNS TECHNICAL HIGH SCHOOL,48,51,-3,MAINTAINING,64,44,20,IMPROVING,94,MAINTAINING,,,DECLINING,F,F,,P,P,D,,,NO,03,27,52,2
560205,56,ST. LUCIE,0205,DALE CASSENS EDUCATIONAL COMPLEX,10,51,-41,DECLINING,40,50,-10,DECLINING,94,DECLINING,DECLINING,,,,,,,,,,,NO,04,75,81,3
578001,57,SANTA ROSA,8001,LEARNING ACADEMY OF SANTA ROSA,,,,,,,,,83,I,,,,,,,,,,,,YES,04,25,30,1
581281,58,SARASOTA,1281,PHOENIX ACADEMY,50,53,-3,MAINTAINING,78,57,21,IMPROVING,100,MAINTAINING,,,,D,C,C,C,C,F,,,NO,04,59,77,4
590571,59,SEMINOLE,0571,JOURNEYS ACADEMY,39,56,-17,DECLINING,45,58,-13,DECLINING,92,DECLINING,,,,,,,,,,,,NO,03,65,65,2
661111,66,WALTON,1111,"WALTON ACADEMY, INC.",,,,,,,,,87,I,DECLINING,DECLINING,IMPROVING,,,,P,P,F,P,,YES,04,22,86,1
